id,customer_name,customer_code,invoice_number,invoice_date,due_date,amount,received_amount,balance,category,payment_terms,status,currency,description,created_at
14,Disney Corporate Events,C-DIS143,AR-50014,2023-01-11,2023-01-26,2007254.78,302238.68,1705016.1,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Disney Corporate Events,2023-01-11 10:45:00
15,Boeing Corporate Shuttle,C-BOE487,AR-50015,2023-01-12,2023-02-11,497147.64,145907.38,351240.26,Cargo Services,Net 30,Overdue,USD,Cargo Services - Boeing Corporate Shuttle,2023-01-12 10:45:00
16,CWT Group,C-CWT276,AR-50016,2023-01-15,2023-02-14,885220.27,391420.63,493799.64,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - CWT Group,2023-01-15 10:45:00
17,Boeing Corporate Shuttle,C-BOE487,AR-50017,2023-01-15,2023-01-30,871455.86,63678.94,807776.92,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Boeing Corporate Shuttle,2023-01-15 10:45:00
18,CWT Group,C-CWT276,AR-50018,2023-01-15,2023-02-14,2756069.98,1277480.33,1478589.65,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - CWT Group,2023-01-15 10:45:00
19,DB Schenker Logistics,C-DBS187,AR-50019,2023-01-16,2023-02-15,1274310.85,164422.14,1109888.71,Cargo Services,Net 30,Overdue,USD,Cargo Services - DB Schenker Logistics,2023-01-16 10:45:00
20,FedEx Trade Networks,C-FED679,AR-50020,2023-01-17,2023-02-16,960027.38,511681.45,448345.93,Cargo Services,Net 30,Overdue,USD,Cargo Services - FedEx Trade Networks,2023-01-17 10:45:00
21,CWT Group,C-CWT276,AR-50021,2023-01-17,2023-02-16,1759117.38,918790.26,840327.12,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - CWT Group,2023-01-17 10:45:00
22,NFL Events & Hospitality,C-NFL601,AR-50022,2023-01-19,2023-02-03,1712370.74,795820.4,916550.34,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - NFL Events & Hospitality,2023-01-19 10:45:00
23,CWT Group,C-CWT276,AR-50023,2023-01-20,2023-02-19,1231292.85,627595.09,603697.76,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - CWT Group,2023-01-20 10:45:00
24,Lufthansa Cargo Partner,C-LUF662,AR-50024,2023-01-22,2023-03-08,828275.91,357630.75,470645.16,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-01-22 10:45:00
25,United Nations Travel Office,C-UNI757,AR-50025,2023-01-22,2023-02-21,2882348.96,1250603.28,1631745.68,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - United Nations Travel Office,2023-01-22 10:45:00
26,DHL Express,C-DHL723,AR-50026,2023-01-23,2023-02-22,967195.23,345075.54,622119.69,Cargo Services,Net 30,Overdue,USD,Cargo Services - DHL Express,2023-01-23 10:45:00
27,Boeing Corporate Shuttle,C-BOE487,AR-50027,2023-01-23,2023-02-22,1213242.55,499900.64,713341.91,Cargo Services,Net 30,Overdue,USD,Cargo Services - Boeing Corporate Shuttle,2023-01-23 10:45:00
28,DHL Express,C-DHL723,AR-50028,2023-01-23,2023-02-22,2058437.97,677110.07,1381327.9,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - DHL Express,2023-01-23 10:45:00
29,Live Nation Entertainment,C-LIV838,AR-50029,2023-01-23,2023-02-22,2700340.46,14720.6,2685619.86,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Live Nation Entertainment,2023-01-23 10:45:00
30,Pfizer Corporate Travel,C-PFI869,AR-50030,2023-01-24,2023-02-23,2207514.65,686787.7,1520726.95,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Pfizer Corporate Travel,2023-01-24 10:45:00
31,UPS Supply Chain Solutions,C-UPS130,AR-50031,2023-01-24,2023-02-23,2460208.01,277979.71,2182228.3,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-01-24 10:45:00
32,UPS Supply Chain Solutions,C-UPS130,AR-50032,2023-01-26,2023-02-25,924933.21,64934.36,859998.85,Cargo Services,Net 30,Overdue,USD,Cargo Services - UPS Supply Chain Solutions,2023-01-26 10:45:00
33,UPS Supply Chain Solutions,C-UPS130,AR-50033,2023-01-28,2023-02-27,2476267.07,1040211.26,1436055.81,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-01-28 10:45:00
34,Marriott Meeting Services,C-MAR321,AR-50034,2023-01-29,2023-02-28,717785.69,219013.79,498771.9,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-01-29 10:45:00
35,Pfizer Corporate Travel,C-PFI869,AR-50035,2023-01-30,2023-03-01,1478729.81,520337.45,958392.36,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Pfizer Corporate Travel,2023-01-30 10:45:00
36,CWT Group,C-CWT276,AR-50036,2023-01-30,2023-03-01,2693959.4,1068909.36,1625050.04,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - CWT Group,2023-01-30 10:45:00
37,Pfizer Corporate Travel,C-PFI869,AR-50037,2023-01-31,2023-03-02,853779.91,238884.87,614895.04,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Pfizer Corporate Travel,2023-01-31 10:45:00
38,UPS Supply Chain Solutions,C-UPS130,AR-50038,2023-02-01,2023-03-03,2234980.47,619736.99,1615243.48,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-02-01 10:45:00
39,Marriott Meeting Services,C-MAR321,AR-50039,2023-02-01,2023-03-03,691441.23,346668.87,344772.36,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-02-01 10:45:00
40,Maersk Air Cargo,C-MAE973,AR-50040,2023-02-02,2023-03-04,2483930.68,111088.64,2372842.04,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Maersk Air Cargo,2023-02-02 10:45:00
41,UPS Supply Chain Solutions,C-UPS130,AR-50041,2023-02-02,2023-03-04,839254.85,287255.09,551999.76,Cargo Services,Net 30,Overdue,USD,Cargo Services - UPS Supply Chain Solutions,2023-02-02 10:45:00
42,Boeing Corporate Shuttle,C-BOE487,AR-50042,2023-02-03,2023-03-05,1256205.06,183437.77,1072767.29,Cargo Services,Net 30,Overdue,USD,Cargo Services - Boeing Corporate Shuttle,2023-02-03 10:45:00
43,Walmart Corporate Travel,C-WAL198,AR-50043,2023-02-03,2023-03-05,531805.4,174663.52,357141.88,Cargo Services,Net 30,Overdue,USD,Cargo Services - Walmart Corporate Travel,2023-02-03 10:45:00
44,DHL Express,C-DHL723,AR-50044,2023-02-05,2023-03-07,879094.59,124600.99,754493.6,Cargo Services,Net 30,Overdue,USD,Cargo Services - DHL Express,2023-02-05 10:45:00
45,Live Nation Entertainment,C-LIV838,AR-50045,2023-02-05,2023-03-07,3173095.61,554199.52,2618896.09,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Live Nation Entertainment,2023-02-05 10:45:00
46,CWT Group,C-CWT276,AR-50046,2023-02-05,2023-03-07,966201.76,31246.56,934955.2,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - CWT Group,2023-02-05 10:45:00
47,Pfizer Corporate Travel,C-PFI869,AR-50047,2023-02-08,2023-03-10,1107268.15,71091.82,1036176.33,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Pfizer Corporate Travel,2023-02-08 10:45:00
48,United Nations Travel Office,C-UNI757,AR-50048,2023-02-09,2023-03-11,1643927.65,72752.99,1571174.66,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - United Nations Travel Office,2023-02-09 10:45:00
49,Walmart Corporate Travel,C-WAL198,AR-50049,2023-02-09,2023-03-11,924409.09,207636.31,716772.78,Cargo Services,Net 30,Overdue,USD,Cargo Services - Walmart Corporate Travel,2023-02-09 10:45:00
50,Amazon Air Logistics,C-AMA673,AR-50050,2023-02-10,2023-03-12,2237768.67,1217525.4,1020243.27,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Amazon Air Logistics,2023-02-10 10:45:00
51,Amazon Air Logistics,C-AMA673,AR-50051,2023-02-10,2023-03-12,3184474.8,730410.16,2454064.64,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Amazon Air Logistics,2023-02-10 10:45:00
52,UPS Supply Chain Solutions,C-UPS130,AR-50052,2023-02-10,2023-03-12,1682996.39,630878.07,1052118.32,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-02-10 10:45:00
53,DB Schenker Logistics,C-DBS187,AR-50053,2023-02-11,2023-03-13,836834.76,358211.19,478623.57,Cargo Services,Net 30,Overdue,USD,Cargo Services - DB Schenker Logistics,2023-02-11 10:45:00
54,DB Schenker Logistics,C-DBS187,AR-50054,2023-02-11,2023-03-13,1097660.74,120433.11,977227.63,Cargo Services,Net 30,Overdue,USD,Cargo Services - DB Schenker Logistics,2023-02-11 10:45:00
55,Google Travel Services,C-GOO876,AR-50055,2023-02-12,2023-03-14,1768608.35,840110.06,928498.29,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Google Travel Services,2023-02-12 10:45:00
56,FedEx Trade Networks,C-FED679,AR-50056,2023-02-14,2023-03-16,1908074.46,745017.78,1163056.68,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - FedEx Trade Networks,2023-02-14 10:45:00
57,Sony Music Touring,C-SON493,AR-50057,2023-02-14,2023-03-01,1869786.3,495840.03,1373946.27,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Sony Music Touring,2023-02-14 10:45:00
58,Walmart Corporate Travel,C-WAL198,AR-50058,2023-02-14,2023-03-16,1353177.49,443823.76,909353.73,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Walmart Corporate Travel,2023-02-14 10:45:00
59,Lufthansa Cargo Partner,C-LUF662,AR-50059,2023-02-14,2023-03-31,213838.19,70257.36,143580.83,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-02-14 10:45:00
60,Walmart Corporate Travel,C-WAL198,AR-50060,2023-02-15,2023-03-17,454615.77,225484.38,229131.39,Cargo Services,Net 30,Overdue,USD,Cargo Services - Walmart Corporate Travel,2023-02-15 10:45:00
61,Google Travel Services,C-GOO876,AR-50061,2023-02-15,2023-03-17,2221203.61,221377.34,1999826.27,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Google Travel Services,2023-02-15 10:45:00
62,UPS Supply Chain Solutions,C-UPS130,AR-50062,2023-02-15,2023-03-17,2305310.54,920323.88,1384986.66,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-02-15 10:45:00
63,FedEx Trade Networks,C-FED679,AR-50063,2023-02-15,2023-03-17,1040256.49,191828.48,848428.01,Cargo Services,Net 30,Overdue,USD,Cargo Services - FedEx Trade Networks,2023-02-15 10:45:00
64,Amazon Air Logistics,C-AMA673,AR-50064,2023-02-15,2023-03-17,847724.32,273116.55,574607.77,Cargo Services,Net 30,Overdue,USD,Cargo Services - Amazon Air Logistics,2023-02-15 10:45:00
65,Maersk Air Cargo,C-MAE973,AR-50065,2023-02-17,2023-03-19,1685823.35,519603.43,1166219.92,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Maersk Air Cargo,2023-02-17 10:45:00
66,Live Nation Entertainment,C-LIV838,AR-50066,2023-02-17,2023-03-04,973775.99,468567.94,505208.05,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Live Nation Entertainment,2023-02-17 10:45:00
67,TUI Travel Partners,C-TUI255,AR-50067,2023-02-17,2023-04-03,917079.32,164802.02,752277.3,Interline Billing,Net 45,Overdue,USD,Interline Billing - TUI Travel Partners,2023-02-17 10:45:00
68,Walmart Corporate Travel,C-WAL198,AR-50068,2023-02-18,2023-03-20,1692101.23,201217.18,1490884.05,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Walmart Corporate Travel,2023-02-18 10:45:00
69,Marriott Meeting Services,C-MAR321,AR-50069,2023-02-18,2023-03-20,845180.64,75938.62,769242.02,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-02-18 10:45:00
70,American Express Global Business Travel,C-AME924,AR-50070,2023-02-19,2023-03-21,2815785.71,1289012.5,1526773.21,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - American Express Global Business Travel,2023-02-19 10:45:00
71,Emirates SkyCargo Partner,C-EMI151,AR-50071,2023-02-19,2023-04-05,382461.74,163401.19,219060.55,Interline Billing,Net 45,Overdue,USD,Interline Billing - Emirates SkyCargo Partner,2023-02-19 10:45:00
72,United Nations Travel Office,C-UNI757,AR-50072,2023-02-19,2023-03-21,1955557.84,374780.58,1580777.26,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - United Nations Travel Office,2023-02-19 10:45:00
73,Pfizer Corporate Travel,C-PFI869,AR-50073,2023-02-19,2023-03-21,3050857.87,761007.36,2289850.51,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Pfizer Corporate Travel,2023-02-19 10:45:00
74,Lufthansa Cargo Partner,C-LUF662,AR-50074,2023-02-20,2023-04-06,165840.64,57876.19,107964.45,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-02-20 10:45:00
75,Lufthansa Cargo Partner,C-LUF662,AR-50075,2023-02-22,2023-04-08,666141.93,232522.01,433619.92,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-02-22 10:45:00
76,Marriott Meeting Services,C-MAR321,AR-50076,2023-02-22,2023-03-24,394079.46,147085.49,246993.97,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-02-22 10:45:00
77,UPS Supply Chain Solutions,C-UPS130,AR-50077,2023-02-22,2023-03-24,701550.82,179175.52,522375.3,Cargo Services,Net 30,Overdue,USD,Cargo Services - UPS Supply Chain Solutions,2023-02-22 10:45:00
78,Maersk Air Cargo,C-MAE973,AR-50078,2023-02-22,2023-03-24,624130.9,210512.39,413618.51,Cargo Services,Net 30,Overdue,USD,Cargo Services - Maersk Air Cargo,2023-02-22 10:45:00
79,Boeing Corporate Shuttle,C-BOE487,AR-50079,2023-02-23,2023-03-10,2092962.95,112426.87,1980536.08,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Boeing Corporate Shuttle,2023-02-23 10:45:00
80,Boeing Corporate Shuttle,C-BOE487,AR-50080,2023-02-24,2023-03-11,557804.9,233510.47,324294.43,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Boeing Corporate Shuttle,2023-02-24 10:45:00
81,Walmart Corporate Travel,C-WAL198,AR-50081,2023-02-25,2023-03-27,665990.99,118615.67,547375.32,Cargo Services,Net 30,Overdue,USD,Cargo Services - Walmart Corporate Travel,2023-02-25 10:45:00
82,UPS Supply Chain Solutions,C-UPS130,AR-50082,2023-02-25,2023-03-27,2247508.16,601670.66,1645837.5,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-02-25 10:45:00
83,Amazon Air Logistics,C-AMA673,AR-50083,2023-02-26,2023-03-28,486186.9,203342.48,282844.42,Cargo Services,Net 30,Overdue,USD,Cargo Services - Amazon Air Logistics,2023-02-26 10:45:00
84,Maersk Air Cargo,C-MAE973,AR-50084,2023-02-26,2023-03-28,538908.3,244834.41,294073.89,Cargo Services,Net 30,Overdue,USD,Cargo Services - Maersk Air Cargo,2023-02-26 10:45:00
85,American Express Global Business Travel,C-AME924,AR-50085,2023-02-26,2023-03-28,2603833.9,239486.67,2364347.23,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - American Express Global Business Travel,2023-02-26 10:45:00
86,BCD Travel,C-BCD303,AR-50086,2023-02-27,2023-03-29,2493493.27,906426.55,1587066.72,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - BCD Travel,2023-02-27 10:45:00
87,Marriott Meeting Services,C-MAR321,AR-50087,2023-03-01,2023-03-31,1086955.16,425549.35,661405.81,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-03-01 10:45:00
88,Boeing Corporate Shuttle,C-BOE487,AR-50088,2023-03-01,2023-03-31,1725320.95,588389.14,1136931.81,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Boeing Corporate Shuttle,2023-03-01 10:45:00
89,UPS Supply Chain Solutions,C-UPS130,AR-50089,2023-03-01,2023-03-31,1038013.94,425697.49,612316.45,Cargo Services,Net 30,Overdue,USD,Cargo Services - UPS Supply Chain Solutions,2023-03-01 10:45:00
90,Sony Music Touring,C-SON493,AR-50090,2023-03-03,2023-03-18,1436965.11,654152.41,782812.7,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Sony Music Touring,2023-03-03 10:45:00
91,Lufthansa Cargo Partner,C-LUF662,AR-50091,2023-03-03,2023-04-17,358161.67,189767.36,168394.31,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-03-03 10:45:00
92,Amazon Air Logistics,C-AMA673,AR-50092,2023-03-03,2023-04-02,1659273.91,34264.65,1625009.26,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Amazon Air Logistics,2023-03-03 10:45:00
93,FedEx Trade Networks,C-FED679,AR-50093,2023-03-03,2023-04-02,658321.51,335804.69,322516.82,Cargo Services,Net 30,Overdue,USD,Cargo Services - FedEx Trade Networks,2023-03-03 10:45:00
94,Expedia Partner Solutions,C-EXP610,AR-50094,2023-03-04,2023-04-03,810964.56,195972.82,614991.74,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Expedia Partner Solutions,2023-03-04 10:45:00
95,Live Nation Entertainment,C-LIV838,AR-50095,2023-03-04,2023-04-03,3189311.24,432624.26,2756686.98,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Live Nation Entertainment,2023-03-04 10:45:00
96,Pfizer Corporate Travel,C-PFI869,AR-50096,2023-03-06,2023-04-05,1383472.24,98125.63,1285346.61,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Pfizer Corporate Travel,2023-03-06 10:45:00
97,FedEx Trade Networks,C-FED679,AR-50097,2023-03-06,2023-04-05,895614.33,253252.04,642362.29,Cargo Services,Net 30,Overdue,USD,Cargo Services - FedEx Trade Networks,2023-03-06 10:45:00
98,Lufthansa Cargo Partner,C-LUF662,AR-50098,2023-03-06,2023-04-20,240467.18,15157.37,225309.81,Interline Billing,Net 45,Overdue,USD,Interline Billing - Lufthansa Cargo Partner,2023-03-06 10:45:00
99,Google Travel Services,C-GOO876,AR-50099,2023-03-07,2023-04-06,1699608.22,217448.52,1482159.7,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Google Travel Services,2023-03-07 10:45:00
100,Emirates SkyCargo Partner,C-EMI151,AR-50100,2023-03-07,2023-04-21,596639.12,172061.39,424577.73,Interline Billing,Net 45,Overdue,USD,Interline Billing - Emirates SkyCargo Partner,2023-03-07 10:45:00
101,Walmart Corporate Travel,C-WAL198,AR-50101,2023-03-08,2023-04-07,1118746.26,8169.48,1110576.78,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Walmart Corporate Travel,2023-03-08 10:45:00
102,Marriott Meeting Services,C-MAR321,AR-50102,2023-03-08,2023-04-07,788726.6,335277.44,453449.16,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-03-08 10:45:00
103,DHL Express,C-DHL723,AR-50103,2023-03-09,2023-04-08,1780078.75,563440.35,1216638.4,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - DHL Express,2023-03-09 10:45:00
104,Amazon Air Logistics,C-AMA673,AR-50104,2023-03-09,2023-04-08,1574078.8,664634.53,909444.27,Cargo Services,Net 30,Overdue,USD,Cargo Services - Amazon Air Logistics,2023-03-09 10:45:00
105,Walmart Corporate Travel,C-WAL198,AR-50105,2023-03-09,2023-04-08,839064.47,392401.86,446662.61,Cargo Services,Net 30,Overdue,USD,Cargo Services - Walmart Corporate Travel,2023-03-09 10:45:00
106,Expedia Partner Solutions,C-EXP610,AR-50106,2023-03-10,2023-04-09,772784.99,221838.71,550946.28,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Expedia Partner Solutions,2023-03-10 10:45:00
107,Shell Corporate Travel,C-SHE535,AR-50107,2023-03-11,2023-04-10,2660636.94,628486.98,2032149.96,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Shell Corporate Travel,2023-03-11 10:45:00
108,UPS Supply Chain Solutions,C-UPS130,AR-50108,2023-03-11,2023-04-10,3150876.28,289900.9,2860975.38,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - UPS Supply Chain Solutions,2023-03-11 10:45:00
109,Siemens Mobility,C-SIE388,AR-50109,2023-03-11,2023-04-10,1960033.91,69924.21,1890109.7,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Siemens Mobility,2023-03-11 10:45:00
110,NFL Events & Hospitality,C-NFL601,AR-50110,2023-03-14,2023-03-29,1924739.65,286136.37,1638603.28,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - NFL Events & Hospitality,2023-03-14 10:45:00
111,Expedia Partner Solutions,C-EXP610,AR-50111,2023-03-15,2023-04-14,658928.12,321226.94,337701.18,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Expedia Partner Solutions,2023-03-15 10:45:00
112,Live Nation Entertainment,C-LIV838,AR-50112,2023-03-15,2023-03-30,887305.38,1098.79,886206.59,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Live Nation Entertainment,2023-03-15 10:45:00
113,Kuehne+Nagel,C-KUE458,AR-50113,2023-03-15,2023-04-14,978904.56,235573.27,743331.29,Cargo Services,Net 30,Overdue,USD,Cargo Services - Kuehne+Nagel,2023-03-15 10:45:00
114,American Express Global Business Travel,C-AME924,AR-50114,2023-03-16,2023-04-15,904180.57,147322.77,756857.8,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - American Express Global Business Travel,2023-03-16 10:45:00
115,Sony Music Touring,C-SON493,AR-50115,2023-03-16,2023-03-31,993637.43,142427.96,851209.47,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Sony Music Touring,2023-03-16 10:45:00
116,Shell Corporate Travel,C-SHE535,AR-50116,2023-03-16,2023-04-15,2615005.0,438307.24,2176697.76,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Shell Corporate Travel,2023-03-16 10:45:00
117,American Express Global Business Travel,C-AME924,AR-50117,2023-03-16,2023-04-15,539386.19,78769.83,460616.36,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - American Express Global Business Travel,2023-03-16 10:45:00
118,Shell Corporate Travel,C-SHE535,AR-50118,2023-03-18,2023-04-17,3400877.55,1448153.52,1952724.03,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Shell Corporate Travel,2023-03-18 10:45:00
119,Live Nation Entertainment,C-LIV838,AR-50119,2023-03-19,2023-04-03,1364730.3,545674.93,819055.37,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Live Nation Entertainment,2023-03-19 10:45:00
120,Amazon Air Logistics,C-AMA673,AR-50120,2023-03-19,2023-04-18,1632051.94,73811.9,1558240.04,Corporate Contracts,Net 30,Overdue,USD,Corporate Contracts - Amazon Air Logistics,2023-03-19 10:45:00
121,FedEx Trade Networks,C-FED679,AR-50121,2023-03-19,2023-04-18,900244.67,279545.73,620698.94,Cargo Services,Net 30,Overdue,USD,Cargo Services - FedEx Trade Networks,2023-03-19 10:45:00
122,Disney Corporate Events,C-DIS143,AR-50122,2023-03-20,2023-04-04,1217049.6,268780.67,948268.93,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Disney Corporate Events,2023-03-20 10:45:00
123,Marriott Meeting Services,C-MAR321,AR-50123,2023-03-20,2023-04-19,768101.73,378287.08,389814.65,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - Marriott Meeting Services,2023-03-20 10:45:00
124,Sony Music Touring,C-SON493,AR-50124,2023-03-21,2023-04-05,2311239.17,731808.81,1579430.36,Charter Revenue,Net 15,Overdue,USD,Charter Revenue - Sony Music Touring,2023-03-21 10:45:00
125,Sony Music Touring,C-SON493,AR-50125,2023-03-21,2023-04-20,958246.62,280810.53,677436.09,Cargo Services,Net 30,Overdue,USD,Cargo Services - Sony Music Touring,2023-03-21 10:45:00
126,American Express Global Business Travel,C-AME924,AR-50126,2023-03-21,2023-04-20,468301.39,190124.67,278176.72,Loyalty Partnerships,Net 30,Overdue,USD,Loyalty Partnerships - American Express Global Business Travel,2023-03-21 10:45:00
