id,period,period_start,period_end,passenger_revenue,cargo_revenue,ancillary_revenue,loyalty_revenue,other_revenue,total_revenue,fuel_expense,labor_expense,maintenance_expense,airport_expense,lease_expense,distribution_expense,catering_expense,insurance_expense,depreciation_expense,other_expense,total_expenses,operating_income,interest_expense,interest_income,fuel_hedging_gain_loss,pre_tax_income,income_tax,net_income,created_at
11,2023-01-11,2023-01-11,2023-01-11,33305707.36,2316132.94,5656664.12,1162502.2,1110278.39,43551285.01,13386016.48,10639773.48,3895036.03,2793925.65,2873175.55,1463131.18,1086841.4,682922.84,1844575.65,516801.41,39182199.67,4369085.34,272868.53,31494.23,37977.95,4165688.99,1020593.8,3145095.19,2023-01-11 18:15:00
12,2023-01-12,2023-01-12,2023-01-12,34776460.54,1918229.81,5056701.82,981500.23,1272189.84,44005082.24,13708813.84,10206362.74,3839237.91,2607740.53,3046184.64,1482279.02,1111761.77,714300.11,1801368.33,500046.36,39018095.25,4986986.99,123762.34,157476.73,-10730.06,5009971.32,1227442.97,3782528.35,2023-01-12 18:15:00
13,2023-01-13,2023-01-13,2023-01-13,38723412.12,2323276.4,5741541.29,1648688.95,1269496.83,49706415.59,15420071.62,12318772.48,4024527.3,3117737.93,3252503.95,1832217.22,1157436.32,806817.78,2047511.05,895609.03,44873204.68,4833210.91,184057.56,177988.47,-110010.26,4717131.56,1155697.23,3561434.33,2023-01-13 18:15:00
14,2023-01-14,2023-01-14,2023-01-14,42163597.41,2258595.96,6122621.76,1853661.18,1713663.14,54112139.45,16309163.64,13180255.78,4712393.19,3317088.93,3674514.12,1830595.37,1331880.98,999227.12,2215158.79,541121.39,48111399.31,6000740.14,291616.51,160888.94,-13457.67,5856554.9,1434855.95,4421698.95,2023-01-14 18:15:00
15,2023-01-15,2023-01-15,2023-01-15,40239200.3,2508396.19,6510415.86,1786857.62,1250958.0,52295827.97,16032090.97,11943520.05,4521528.11,3324468.02,3368662.97,1740737.12,1312982.57,851426.18,2252857.81,804904.45,46153178.25,6142649.72,331825.16,176445.63,-26804.65,5960465.54,1460314.06,4500151.48,2023-01-15 18:15:00
16,2023-01-16,2023-01-16,2023-01-16,34485491.89,2425762.6,6047037.01,1464309.26,1010533.89,45433134.65,14107366.8,10700894.38,3808043.89,2744345.76,3087658.38,1520218.52,984672.78,755559.63,1945181.66,660145.44,40314087.24,5119047.41,229028.67,132988.9,67789.08,5090796.72,1247245.2,3843551.52,2023-01-16 18:15:00
17,2023-01-17,2023-01-17,2023-01-17,36146768.03,2244707.82,6389336.5,1568517.31,1267838.32,47617167.98,14661865.7,11909144.99,4081363.37,3126290.44,2977244.35,1571037.18,1264356.77,817346.93,1950240.3,729571.31,43088461.34,4528706.64,156375.44,147337.24,-4777.74,4514890.7,1106148.22,3408742.48,2023-01-17 18:15:00
18,2023-01-18,2023-01-18,2023-01-18,33481644.36,2467960.1,5553364.93,1262621.14,1437509.81,44203100.34,14345604.13,10430081.45,3913262.91,2498528.64,3146844.9,1443665.24,1211117.63,731141.44,1752718.96,562266.38,40035231.68,4167868.66,241875.12,145715.31,-21007.84,4050701.01,992421.75,3058279.26,2023-01-18 18:15:00
19,2023-01-19,2023-01-19,2023-01-19,36211962.45,2491647.55,5861635.93,1071361.4,1491244.87,47127852.2,15023230.42,10981774.37,3933347.99,3009024.83,3144269.68,1555271.26,1198033.95,749990.33,1997553.3,739971.14,42332467.27,4795384.93,273869.35,178589.33,-28270.67,4671834.24,1144599.39,3527234.85,2023-01-19 18:15:00
20,2023-01-20,2023-01-20,2023-01-20,39034137.25,2209198.49,6197561.53,1490446.04,1735350.83,50666694.14,15779367.99,12086819.53,4314507.74,3108713.76,3141335.04,1891206.32,1277247.63,806553.61,2003266.72,780876.76,45189895.1,5476799.04,159583.21,190056.49,13515.17,5520787.49,1352592.94,4168194.55,2023-01-20 18:15:00
21,2023-01-21,2023-01-21,2023-01-21,39209368.25,2259634.63,5861705.09,1599366.43,1593112.17,50523186.57,15195097.13,12076624.52,4758846.38,2927567.05,3312527.52,1789681.71,1257175.42,790654.8,1953615.83,1010463.73,45072254.09,5450932.48,308540.53,171091.31,2483.58,5315966.84,1302411.88,4013554.96,2023-01-21 18:15:00
22,2023-01-22,2023-01-22,2023-01-22,37690877.07,1932322.51,6037727.16,1426392.58,1393736.62,48481055.94,14543865.88,11882996.75,3955520.81,3241259.06,3163324.69,1614884.92,1140024.76,797232.71,2023964.08,739818.98,43102892.64,5378163.3,259198.24,126821.2,-35546.59,5210239.67,1276508.72,3933730.95,2023-01-22 18:15:00
23,2023-01-23,2023-01-23,2023-01-23,37083966.09,2144218.82,5471485.05,1348979.03,1217200.09,47265849.08,15494062.53,11436865.52,4124674.05,3145357.6,3104816.29,1699836.44,1126569.44,748203.23,2024289.25,836438.69,43741113.04,3524736.04,151728.69,257644.47,9100.26,3639752.08,891739.26,2748012.82,2023-01-23 18:15:00
24,2023-01-24,2023-01-24,2023-01-24,34997021.52,2208040.85,6508584.16,1180341.36,1628625.93,46522613.82,13854461.85,11235637.36,3876704.09,2558743.76,3083086.98,1434088.06,1183842.69,773435.5,1879158.73,558393.66,40437552.68,6085061.14,273071.08,176477.02,-24856.53,5963610.55,1461084.58,4502525.97,2023-01-24 18:15:00
25,2023-01-25,2023-01-25,2023-01-25,34648457.16,2359606.76,5630192.52,1160704.02,1302717.75,45101678.21,13930199.42,10413555.23,3832872.27,2775122.19,2962042.15,1657547.86,1016599.68,676115.32,1876535.45,768541.19,39909130.76,5192547.45,246404.21,171498.11,-117537.9,5000103.45,1225025.35,3775078.1,2023-01-25 18:15:00
26,2023-01-26,2023-01-26,2023-01-26,35309094.08,2166569.1,5796454.74,1601279.61,1255351.8,46128749.33,14352976.16,10553900.54,4022035.68,2911507.7,3015306.07,1687865.31,1033695.67,744833.93,1862516.95,712806.65,40897444.66,5231304.67,262706.33,112921.78,28946.0,5110466.12,1252064.2,3858401.92,2023-01-26 18:15:00
27,2023-01-27,2023-01-27,2023-01-27,40491878.91,2245715.94,6491503.68,1813682.71,1294783.41,52337564.65,15923091.28,13508360.41,4397579.77,3261944.71,3385331.54,2013565.75,1224908.69,918632.46,2202521.21,813298.4,47649234.22,4688330.43,332016.67,154111.72,25369.46,4535794.94,1111269.76,3424525.18,2023-01-27 18:15:00
28,2023-01-28,2023-01-28,2023-01-28,41574277.24,2110549.12,6977964.8,1534555.05,1158175.74,53355521.95,15853715.65,13145452.8,4815809.8,3497272.46,3662513.98,1922031.46,1333054.62,841703.45,2275215.22,830592.72,48177362.16,5178159.79,236472.7,175217.53,9274.91,5126179.53,1255913.98,3870265.55,2023-01-28 18:15:00
29,2023-01-29,2023-01-29,2023-01-29,40176961.54,2369871.11,6572704.59,1554435.19,1286941.31,51960913.74,15541723.58,12463179.47,4850835.05,3373453.11,3606205.43,1812109.28,1179569.68,927138.67,2109909.39,956739.49,46820863.15,5140050.59,249224.63,64737.36,-19821.46,4935741.86,1209256.76,3726485.1,2023-01-29 18:15:00
30,2023-01-30,2023-01-30,2023-01-30,36419460.92,2415294.97,5436449.04,1209575.27,1324872.8,46805653.0,14101562.52,11188193.03,4273520.32,2892381.64,3112147.76,1712257.54,1107509.55,756551.2,1846885.32,725965.46,41716974.34,5088678.66,64096.25,108550.96,-3370.61,5129762.76,1256791.88,3872970.88,2023-01-30 18:15:00
31,2023-01-31,2023-01-31,2023-01-31,39938841.8,2408674.51,5863565.78,1617211.08,1482506.19,51310799.36,15364184.56,12357643.82,4721590.43,3480478.78,3436013.66,1680345.61,1223248.77,818073.31,1991600.67,689194.13,45762373.74,5548425.62,307063.62,110006.94,36924.35,5388293.29,1320131.86,4068161.43,2023-01-31 18:15:00
32,2023-02-01,2023-02-01,2023-02-01,34820906.63,2283961.42,5618604.12,1551447.12,1271874.82,45546794.11,14556030.02,10884421.87,3752348.11,2906365.51,2949033.69,1512571.09,1023991.96,734060.3,1930661.77,627093.91,40876578.23,4670215.88,256554.62,117090.77,-30389.93,4500362.1,1102588.71,3397773.39,2023-02-01 18:15:00
33,2023-02-02,2023-02-02,2023-02-02,34290908.67,1998416.12,5574370.15,1045323.1,1131105.12,44040123.16,13475727.48,10867382.26,3827606.44,2640018.5,2956943.77,1491705.49,895791.44,690926.85,1730563.26,732574.64,39309240.13,4730883.03,288089.71,85103.97,38085.31,4565982.6,1118665.74,3447316.86,2023-02-02 18:15:00
34,2023-02-03,2023-02-03,2023-02-03,36760464.58,2164173.98,5675199.31,1454496.38,1077268.15,47131602.4,14168062.0,11312824.83,4229246.41,2796928.67,3179494.48,1731509.64,1058586.69,660758.86,1958696.85,749152.62,41845261.05,5286341.35,148527.72,167293.69,-66428.79,5238678.53,1283476.24,3955202.29,2023-02-03 18:15:00
35,2023-02-04,2023-02-04,2023-02-04,40617971.81,2200599.8,6302455.92,1620395.53,1367547.93,52108970.99,15980440.32,12574233.36,4758851.5,3373014.97,3468435.78,1682507.13,1271007.1,879608.54,2197232.63,622131.75,46807463.08,5301507.91,307654.33,259066.57,6899.97,5259820.12,1288655.93,3971164.19,2023-02-04 18:15:00
36,2023-02-05,2023-02-05,2023-02-05,41437376.23,2198958.55,5846952.13,1660331.43,1345625.95,52489244.29,16378579.42,12305731.9,4977508.84,3076979.2,3558358.72,1683638.52,1298017.82,954921.77,2112589.58,841364.99,47187690.76,5301553.53,269266.6,156870.62,-44.6,5189112.95,1271332.67,3917780.28,2023-02-05 18:15:00
37,2023-02-06,2023-02-06,2023-02-06,36260964.08,2283375.24,5794032.77,1660975.4,1245265.62,47244613.11,14251738.27,11178253.31,4349604.71,2823847.62,3194558.73,1628667.15,1168904.7,778611.5,1925250.29,606399.5,41905835.78,5338777.33,149106.24,89100.79,44954.98,5323726.86,1304313.08,4019413.78,2023-02-06 18:15:00
38,2023-02-07,2023-02-07,2023-02-07,35693904.51,2525748.79,5740253.22,1644865.62,1259169.57,46863941.71,14708993.81,11200375.34,4280902.1,2825018.59,3041081.84,1660626.63,1167585.05,775191.5,1991650.28,744036.12,42395461.26,4468480.45,261613.05,91666.38,-42738.42,4255795.36,1042669.86,3213125.5,2023-02-07 18:15:00
39,2023-02-08,2023-02-08,2023-02-08,34532057.23,2411686.7,5979177.36,1284840.76,1396188.99,45603951.04,13310433.34,11489218.39,4332375.35,2830498.61,3164280.08,1486407.83,1051645.7,721336.27,1814476.75,610586.37,40811258.69,4792692.35,214840.75,115186.48,-35628.47,4657409.61,1141065.35,3516344.26,2023-02-08 18:15:00
40,2023-02-09,2023-02-09,2023-02-09,37634566.86,2083186.48,6364102.35,1499834.17,1556598.64,49138288.5,15528899.9,11733005.53,4328381.67,2968916.96,3271858.57,1736588.19,1117359.78,843104.39,1947617.32,709411.27,44185143.58,4953144.92,88654.57,81420.5,-64354.69,4881556.16,1195981.26,3685574.9,2023-02-09 18:15:00
41,2023-02-10,2023-02-10,2023-02-10,40049185.9,2381744.46,6712486.3,1493379.59,1209114.45,51845910.7,15758352.74,12446682.8,4485252.35,2957761.89,3647419.09,1904652.78,1273469.69,827498.5,2107454.0,721196.48,46129740.32,5716170.38,284805.45,190402.35,-25897.64,5595869.64,1370988.06,4224881.58,2023-02-10 18:15:00
42,2023-02-11,2023-02-11,2023-02-11,41135846.97,2371917.28,6364948.44,1472124.72,1348231.57,52693068.98,15980423.03,12962688.91,4655019.05,3397977.85,3574742.12,1918076.37,1247897.01,857169.75,2261421.54,950468.41,47805884.04,4887184.94,177639.78,239441.41,11166.44,4960153.01,1215237.49,3744915.52,2023-02-11 18:15:00
43,2023-02-12,2023-02-12,2023-02-12,39398690.22,2108168.24,6290711.19,1504994.25,1487399.93,50789963.83,15061080.95,12391792.92,4263112.46,3036569.62,3603134.82,1762746.22,1288064.87,733142.13,2205101.98,802669.12,45147415.09,5642548.74,93988.72,124509.6,-80556.61,5592513.01,1370165.69,4222347.32,2023-02-12 18:15:00
44,2023-02-13,2023-02-13,2023-02-13,36935359.91,2403412.86,5752162.12,1476337.38,1209759.62,47777031.89,13898127.84,11488984.05,4196200.35,3203918.48,3313362.88,1615762.1,1173980.11,739142.13,1951778.97,837159.95,42418416.86,5358615.03,241133.89,129998.42,-19020.62,5228458.94,1280972.44,3947486.5,2023-02-13 18:15:00
45,2023-02-14,2023-02-14,2023-02-14,35865254.26,2218779.75,5851568.62,1372111.07,1331497.61,46639211.31,13348579.95,11289175.54,3759642.17,2887525.45,3146019.05,1747629.42,1209155.64,763360.44,1862388.48,932784.23,40946260.37,5692950.94,201594.63,119918.9,28864.63,5640139.84,1381834.26,4258305.58,2023-02-14 18:15:00
46,2023-02-15,2023-02-15,2023-02-15,34366779.0,1991420.67,5477943.91,1173142.67,1327917.66,44337203.91,13077039.29,11061965.44,3784588.1,2873122.75,2906471.59,1508830.87,1033132.03,749618.49,1888595.16,669208.49,39552572.21,4784631.7,280522.43,114699.88,-4124.08,4614685.07,1130597.84,3484087.23,2023-02-15 18:15:00
47,2023-02-16,2023-02-16,2023-02-16,36550760.65,2323166.94,6315829.37,1290246.58,1124087.86,47604091.4,14668776.27,11697069.69,4140270.32,2993944.34,3122679.16,1708068.56,1218726.69,806172.42,1832569.8,857063.13,43045340.38,4558751.02,235497.84,144147.01,2570.14,4469970.33,1095142.73,3374827.6,2023-02-16 18:15:00
48,2023-02-17,2023-02-17,2023-02-17,39555957.04,2277274.99,5934972.16,1416612.77,1360973.29,50545790.25,14776454.26,12187088.69,4609185.6,3282704.88,3440453.22,1916522.64,1367365.42,728911.7,2091150.93,687477.77,45087315.11,5458475.14,262393.09,135376.84,-67008.26,5264450.63,1289790.4,3974660.23,2023-02-17 18:15:00
49,2023-02-18,2023-02-18,2023-02-18,41735084.7,2194543.73,6185481.3,1451228.78,1339049.67,52905388.18,15138754.18,12799699.14,4856079.37,3317750.7,3559805.29,1887163.56,1273994.22,768303.7,2165636.02,926360.45,46693546.63,6211841.55,268293.69,116669.48,-3116.82,6057100.52,1483989.63,4573110.89,2023-02-18 18:15:00
50,2023-02-19,2023-02-19,2023-02-19,41450349.63,2225354.9,6443816.78,1596608.31,1422857.89,53138987.51,15528167.98,12480316.45,4433993.32,3278968.14,3497711.65,1700756.74,1315134.68,881264.25,2281827.54,711264.41,46109405.16,7029582.35,285230.54,78103.92,2069.05,6824524.78,1672008.57,5152516.21,2023-02-19 18:15:00
51,2023-02-20,2023-02-20,2023-02-20,37420317.81,2100565.5,6096387.96,1426430.53,1144003.21,48187705.01,14318107.15,12004350.7,4577831.98,3097491.33,3308862.73,1518970.64,1089244.89,735016.3,2076530.02,721040.81,43447446.55,4740258.46,136448.06,150638.52,-7081.05,4747367.87,1163105.13,3584262.74,2023-02-20 18:15:00
52,2023-02-21,2023-02-21,2023-02-21,35789420.36,2334096.92,4896456.21,1500401.9,1335596.06,45855971.45,13628037.09,10952947.36,4025661.5,3139204.26,3075905.88,1531806.86,1162040.06,774717.96,1815263.99,737077.66,40842662.62,5013308.83,191249.07,179368.06,7156.86,5008584.68,1227103.25,3781481.43,2023-02-21 18:15:00
53,2023-02-22,2023-02-22,2023-02-22,34656579.92,2214391.06,5250710.13,1193603.56,1555187.99,44870472.66,13417194.58,10532927.65,3953248.12,2700781.08,3081615.2,1589267.19,1152883.4,644781.14,1850975.07,735358.06,39659031.49,5211441.17,172098.8,180159.34,-13812.7,5205689.01,1275393.81,3930295.2,2023-02-22 18:15:00
54,2023-02-23,2023-02-23,2023-02-23,37686093.85,2248258.96,6247635.14,1319490.77,1666566.17,49168044.89,15256516.38,12224451.8,3963863.53,3116505.76,3198335.1,1715452.03,1143566.13,781850.09,1973806.59,612382.92,43986730.33,5181314.56,260180.89,221999.76,-21551.02,5121582.41,1254787.69,3866794.72,2023-02-23 18:15:00
55,2023-02-24,2023-02-24,2023-02-24,40939747.4,2278563.54,6419324.21,1783741.4,1538923.09,52960299.64,16529605.59,12822803.98,4477995.87,3229744.96,3654204.71,2034425.64,1317611.97,845551.6,2148070.23,702569.01,47762583.56,5197716.08,243081.82,121621.67,-48001.0,5028254.93,1231922.46,3796332.47,2023-02-24 18:15:00
56,2023-02-25,2023-02-25,2023-02-25,41709833.14,2007487.39,7158362.13,1537876.03,1145574.39,53559133.08,17102728.93,11841509.4,4883331.42,3348419.37,3642127.69,1867613.0,1307952.01,882679.53,2245524.59,868884.47,47990770.41,5568362.67,180569.01,179802.97,41918.35,5609514.98,1374331.17,4235183.81,2023-02-25 18:15:00
57,2023-02-26,2023-02-26,2023-02-26,39535377.48,2050269.08,6634361.08,1484590.99,1406204.51,51110803.14,14447251.27,12165036.17,4477198.47,3124223.27,3546841.31,1704295.74,1256619.3,765069.43,2069867.87,729073.47,44285476.3,6825326.84,191856.49,111299.47,-53466.16,6691303.66,1639369.4,5051934.26,2023-02-26 18:15:00
58,2023-02-27,2023-02-27,2023-02-27,38072772.87,1814904.85,5638454.07,1442485.01,1256657.9,48225274.7,13985147.12,11089386.42,4209594.02,2652390.11,3325367.11,1530347.87,1216146.41,676756.66,1991264.43,588604.09,41265004.24,6960270.46,362552.98,187906.51,8107.99,6793731.98,1664464.34,5129267.64,2023-02-27 18:15:00
59,2023-02-28,2023-02-28,2023-02-28,36249235.44,2300515.92,5583621.45,1514393.14,1379446.81,47027212.76,14351603.03,11696373.3,4124585.82,2840417.31,3142833.01,1709950.59,1165256.7,760489.88,1995642.49,698732.52,42485884.65,4541328.11,81435.08,247449.21,81076.21,4788418.45,1173162.52,3615255.93,2023-02-28 18:15:00
60,2023-03-01,2023-03-01,2023-03-01,39741991.46,2113737.18,6450170.87,1695955.84,1289321.61,51291176.96,15042889.11,12173719.92,4152644.93,3282566.86,3419544.35,1743278.24,1220294.97,847660.06,2219509.9,757163.28,44859271.62,6431905.34,250301.23,196754.28,50236.16,6428594.55,1575005.66,4853588.89,2023-03-01 18:15:00
61,2023-03-02,2023-03-02,2023-03-02,37671104.7,2361590.14,5645622.72,1612704.48,1128818.51,48419840.55,14819438.39,12164135.94,4177879.89,2842456.72,3416797.47,1500420.48,1222598.29,823498.26,2006180.23,743430.0,43716835.67,4703004.88,278370.57,255741.52,22315.29,4702691.12,1152159.32,3550531.8,2023-03-02 18:15:00
62,2023-03-03,2023-03-03,2023-03-03,42957615.71,2402077.34,6635258.03,1569744.88,1362252.92,54926948.88,16431386.92,12969574.52,5066392.85,3502298.22,3648185.5,1869961.68,1409853.07,859137.03,2261707.65,882043.46,48900540.9,6026407.98,281654.16,132908.48,11323.42,5888985.72,1442801.5,4446184.22,2023-03-03 18:15:00
63,2023-03-04,2023-03-04,2023-03-04,42919398.75,2441059.38,7376483.68,1487938.23,1544218.21,55769098.25,17427420.77,13009410.56,5068597.89,3432634.15,3820008.53,1785086.51,1292097.97,935564.64,2193904.17,888474.39,49853199.58,5915898.67,413480.19,151361.34,-6998.95,5646780.87,1383461.31,4263319.56,2023-03-04 18:15:00
64,2023-03-05,2023-03-05,2023-03-05,43824123.98,2100868.73,7040889.49,1969678.98,1470109.72,56405670.9,17302201.44,13240338.34,4849173.71,3408342.47,3736155.17,1869776.07,1353583.88,929891.13,2446804.55,759426.43,49895693.19,6509977.71,333644.85,130170.7,-41235.31,6265268.25,1534990.72,4730277.53,2023-03-05 18:15:00
65,2023-03-06,2023-03-06,2023-03-06,40674216.45,2308622.44,6853104.99,1684985.17,1489710.67,53010639.72,16250075.98,12629506.44,4911731.82,3377702.58,3354313.63,1803018.23,1131616.05,918271.77,2212852.37,751603.04,47340691.91,5669947.81,275274.47,170490.9,-12076.78,5553087.46,1360506.43,4192581.03,2023-03-06 18:15:00
66,2023-03-07,2023-03-07,2023-03-07,39137029.78,2626160.94,6282924.06,1406114.36,1457892.06,50910121.2,14836555.17,12022341.82,4138672.77,3209531.59,3286010.16,1638778.67,1266409.48,811742.13,2097717.83,858119.49,44165879.11,6744242.09,184319.56,168960.13,26726.76,6755609.42,1655124.31,5100485.11,2023-03-07 18:15:00
67,2023-03-08,2023-03-08,2023-03-08,37606167.5,2629610.19,5605725.56,1669634.27,1489980.03,49001117.55,14415103.31,11744861.63,4036282.41,3050890.0,3322856.03,1618249.74,1265928.01,699250.88,2015297.08,681783.43,42850502.52,6150615.03,233489.65,163952.72,18119.27,6099197.37,1494303.36,4604894.01,2023-03-08 18:15:00
68,2023-03-09,2023-03-09,2023-03-09,36109738.33,2490613.78,5482595.45,1283639.14,1511292.35,46877879.05,13674590.03,11817453.98,4389605.56,3002420.36,3206553.03,1524082.37,1106976.92,746874.32,1947353.05,666126.03,42082035.65,4795843.4,276720.6,127063.72,36321.85,4682508.37,1147214.55,3535293.82,2023-03-09 18:15:00
69,2023-03-10,2023-03-10,2023-03-10,43171962.85,2366294.78,6309650.7,1821548.76,1374161.32,55043618.41,15373843.38,12950457.2,4867066.13,3391198.52,3732971.61,1792518.64,1332064.06,885566.54,2320511.57,660053.45,47306251.1,7737367.31,198388.24,151644.86,56954.94,7747578.87,1898156.82,5849422.05,2023-03-10 18:15:00
70,2023-03-11,2023-03-11,2023-03-11,43253727.65,2114923.15,7001382.05,1869591.87,1435134.5,55674759.22,17185651.3,13456530.56,4725603.77,3121461.16,3857809.79,1780699.21,1317805.2,919646.49,2357454.47,831927.83,49554589.78,6120169.44,181750.0,181272.72,-7998.51,6111693.65,1497364.94,4614328.71,2023-03-11 18:15:00
71,2023-03-12,2023-03-12,2023-03-12,42513585.44,2427560.35,5768795.79,1441177.14,1718260.42,53869379.14,16215372.4,12507233.27,4618546.63,3224924.72,3651402.29,1779546.44,1261844.72,779345.42,2338803.89,845239.7,47222259.48,6647119.66,143461.65,171898.98,8532.04,6684089.03,1637601.81,5046487.22,2023-03-12 18:15:00
72,2023-03-13,2023-03-13,2023-03-13,39884732.85,2262331.85,6563704.07,1586824.14,1445219.13,51742812.04,14990065.09,13253239.54,4276678.69,2876216.97,3386542.76,1666667.18,1259847.28,811738.92,2140291.37,571707.03,45232994.83,6509817.21,268225.97,100379.24,-84428.54,6257541.94,1533097.78,4724444.16,2023-03-13 18:15:00
73,2023-03-14,2023-03-14,2023-03-14,37472149.46,2389535.78,4896015.1,1552031.48,1428257.93,47737989.75,14597885.7,11717166.59,4148727.16,3006161.2,3255186.9,1679096.34,1089554.51,805249.36,2082870.64,613886.64,42995785.04,4742204.71,92420.32,59556.59,100949.72,4810290.7,1178521.22,3631769.48,2023-03-14 18:15:00
74,2023-03-15,2023-03-15,2023-03-15,37227368.29,2167078.19,5399360.28,1816668.61,1438543.87,48049019.24,13743565.37,11444280.43,4156669.94,3060174.74,3235583.28,1652963.15,1136219.22,763783.1,2046243.64,584110.04,41823592.91,6225426.33,169841.2,129701.13,-17226.42,6168059.84,1511174.66,4656885.18,2023-03-15 18:15:00
75,2023-03-16,2023-03-16,2023-03-16,38809958.13,2246760.76,6685172.39,1366180.55,1383842.24,50491914.07,13811674.83,12256484.43,4328035.22,3222651.8,3324836.19,1837372.0,1143297.18,792433.51,2065614.25,836989.54,43619388.95,6872525.12,65853.52,89970.85,31971.93,6928614.38,1697510.52,5231103.86,2023-03-16 18:15:00
76,2023-03-17,2023-03-17,2023-03-17,42003951.84,2303755.93,6609041.09,1824059.56,1346763.1,54087571.52,16311898.01,13164490.13,4376561.6,3378703.7,3674982.13,2043071.84,1345894.3,968509.71,2082314.14,604444.7,47950870.26,6136701.26,261257.25,121946.49,-18812.04,5978578.46,1464751.72,4513826.74,2023-03-17 18:15:00
77,2023-03-18,2023-03-18,2023-03-18,44148658.13,2314204.95,6499446.79,1630583.16,1456583.86,56049476.89,15598997.67,14234360.08,4849994.83,3581773.18,3764212.26,1981609.64,1365301.2,836818.46,2305222.13,831921.69,49350211.14,6699265.75,330516.27,159329.34,-17529.31,6510549.51,1595084.63,4915464.88,2023-03-18 18:15:00
