id,date,total_revenue,total_operating_cost,gross_profit,non_operating_income,non_operating_expense,pre_tax_income,tax_provision,net_income,operating_margin,net_margin,ebitda,created_at
119,2023-04-29,54847477.33,46572447.11,8275030.22,215507.78,469192.11,8021345.89,1965229.74,6056116.15,15.09,11.04,10668284.83,2023-04-29 18:10:00
120,2023-04-30,53022771.9,45013458.41,8009313.49,209178.31,248030.01,7970461.79,1952763.14,6017698.65,15.11,11.35,10093561.37,2023-04-30 18:10:00
121,2023-05-01,48753192.47,41831143.93,6922048.54,243904.54,337919.16,6828033.92,1672868.31,5155165.61,14.2,10.57,8915569.66,2023-05-01 18:10:00
122,2023-05-02,48415169.15,41650066.48,6765102.67,232357.8,346003.59,6651456.88,1629606.94,5021849.94,13.97,10.37,8736908.55,2023-05-02 18:10:00
123,2023-05-03,47380151.8,40627358.64,6752793.16,229559.52,307427.55,6674925.13,1635356.66,5039568.47,14.25,10.64,8813385.24,2023-05-03 18:10:00
124,2023-05-04,50970424.91,44193210.39,6777214.52,250159.14,175579.62,6851794.04,1678689.54,5173104.5,13.3,10.15,8952704.66,2023-05-04 18:10:00
125,2023-05-05,54560954.01,46210448.67,8350505.34,258996.73,364762.43,8244739.64,2019961.21,6224778.43,15.3,11.41,10515613.62,2023-05-05 18:10:00
126,2023-05-06,57267973.17,47690628.7,9577344.47,221929.18,295324.81,9503948.84,2328467.47,7175481.37,16.72,12.53,11954720.02,2023-05-06 18:10:00
127,2023-05-07,55900895.56,48931108.11,6969787.45,321375.17,525788.3,6765374.32,1657516.71,5107857.61,12.47,9.14,9454806.32,2023-05-07 18:10:00
128,2023-05-08,49047364.4,42498083.01,6549281.39,194235.11,405805.97,6337710.53,1552739.08,4784971.45,13.35,9.76,8514262.92,2023-05-08 18:10:00
129,2023-05-09,48206058.01,40603721.22,7602336.79,275089.1,251993.02,7625432.87,1868231.05,5757201.82,15.77,11.94,9577978.65,2023-05-09 18:10:00
130,2023-05-10,48907039.34,39990783.16,8916256.18,321888.68,466156.12,8771988.74,2149137.24,6622851.5,18.23,13.54,10959115.98,2023-05-10 18:10:00
131,2023-05-11,49310199.18,41898426.48,7411772.7,171781.38,329758.15,7253795.93,1777180.0,5476615.93,15.03,11.11,9388368.0,2023-05-11 18:10:00
132,2023-05-12,51575444.05,43271296.01,8304148.04,412603.55,137021.87,8579729.72,2102033.78,6477695.94,16.1,12.56,10555148.22,2023-05-12 18:10:00
133,2023-05-13,56677647.9,47091682.2,9585965.7,194465.58,331189.57,9449241.71,2315064.22,7134177.49,16.91,12.59,11869564.67,2023-05-13 18:10:00
134,2023-05-14,54156701.97,46022747.51,8133954.46,186402.91,502062.73,7818294.64,1915482.19,5902812.45,15.02,10.9,10241540.9,2023-05-14 18:10:00
135,2023-05-15,48267952.99,40923353.63,7344599.36,256302.17,210463.87,7390437.66,1810657.23,5579780.43,15.22,11.56,9285575.72,2023-05-15 18:10:00
136,2023-05-16,45517193.92,39288105.81,6229088.11,234975.4,266890.99,6197172.52,1518307.27,4678865.25,13.69,10.28,8139878.52,2023-05-16 18:10:00
137,2023-05-17,49974705.83,41906106.84,8068598.99,230269.59,163932.4,8134936.18,1993059.36,6141876.82,16.15,12.29,10057729.15,2023-05-17 18:10:00
138,2023-05-18,50726973.44,43412727.13,7314246.31,290532.48,182502.16,7422276.63,1818457.77,5603818.86,14.42,11.05,9417046.71,2023-05-18 18:10:00
139,2023-05-19,57076403.8,47650241.22,9426162.58,278472.64,247227.61,9457407.61,2317064.86,7140342.75,16.51,12.51,11814457.67,2023-05-19 18:10:00
140,2023-05-20,58026136.02,48514486.85,9511649.17,440918.15,205714.46,9746852.86,2387978.95,7358873.91,16.39,12.68,11785496.09,2023-05-20 18:10:00
141,2023-05-21,56211675.57,47153852.37,9057823.2,248464.71,267761.61,9038526.3,2214438.94,6824087.36,16.11,12.14,11314971.93,2023-05-21 18:10:00
142,2023-05-22,48552418.01,41613142.81,6939275.2,156254.28,460110.22,6635419.26,1625677.72,5009741.54,14.29,10.32,8955339.41,2023-05-22 18:10:00
143,2023-05-23,44000273.09,38121665.24,5878607.85,161588.19,260827.23,5779368.81,1415945.36,4363423.45,13.36,9.92,7728978.54,2023-05-23 18:10:00
144,2023-05-24,48557993.86,40762265.84,7795728.02,252840.82,367634.68,7680934.16,1881828.87,5799105.29,16.05,11.94,9747362.36,2023-05-24 18:10:00
145,2023-05-25,48049744.0,39827037.49,8222706.51,251248.63,393197.69,8080757.45,1979785.58,6100971.87,17.11,12.7,10203684.94,2023-05-25 18:10:00
146,2023-05-26,52145615.36,42843107.08,9302508.28,250805.5,197273.49,9356040.29,2292229.87,7063810.42,17.84,13.55,11418269.46,2023-05-26 18:10:00
147,2023-05-27,53800441.28,45769105.54,8031335.74,173546.49,233331.18,7971551.05,1953030.01,6018521.04,14.93,11.19,10295891.82,2023-05-27 18:10:00
148,2023-05-28,51903048.65,42904584.85,8998463.8,319877.04,390914.95,8927425.89,2187219.34,6740206.55,17.34,12.99,11166927.52,2023-05-28 18:10:00
149,2023-05-29,50912459.34,44065482.96,6846976.38,377031.5,240888.94,6983118.94,1710864.14,5272254.8,13.45,10.36,8905864.8,2023-05-29 18:10:00
150,2023-05-30,48261576.97,40123414.83,8138162.14,219292.79,357095.82,8000359.11,1960087.98,6040271.13,16.86,12.52,10151522.48,2023-05-30 18:10:00
151,2023-05-31,46508625.51,39567540.66,6941084.85,335601.94,435071.67,6841615.12,1676195.7,5165419.42,14.92,11.11,8819154.42,2023-05-31 18:10:00
152,2023-06-01,49615505.82,43079235.48,6536270.34,287739.37,153273.92,6670735.79,1634330.27,5036405.52,13.17,10.15,8604544.45,2023-06-01 18:10:00
153,2023-06-02,53318765.72,45050926.61,8267839.11,417380.94,281850.02,8403370.03,2058825.66,6344544.37,15.51,11.9,10491601.77,2023-06-02 18:10:00
154,2023-06-03,53706836.99,46232740.2,7474096.79,279757.1,300943.97,7452909.92,1825962.93,5626946.99,13.92,10.48,9867089.22,2023-06-03 18:10:00
155,2023-06-04,55618395.37,47928469.38,7689925.99,261679.25,275159.06,7676446.18,1880729.31,5795716.87,13.83,10.42,9942226.65,2023-06-04 18:10:00
156,2023-06-05,53470212.59,45826307.05,7643905.54,308181.02,255804.28,7696282.28,1885589.16,5810693.12,14.3,10.87,9824853.77,2023-06-05 18:10:00
157,2023-06-06,50275986.13,43512893.68,6763092.45,193543.57,252172.2,6704463.82,1642593.64,5061870.18,13.45,10.07,8775597.57,2023-06-06 18:10:00
158,2023-06-07,49975366.64,43701335.64,6274031.0,255407.91,298327.88,6231111.03,1526622.2,4704488.83,12.55,9.41,8245597.42,2023-06-07 18:10:00
159,2023-06-08,48727594.88,41985281.55,6742313.33,316538.09,308434.45,6750416.97,1653852.16,5096564.81,13.84,10.46,8706781.39,2023-06-08 18:10:00
160,2023-06-09,53517190.58,45454008.39,8063182.19,306614.2,423150.88,7946645.51,1946928.15,5999717.36,15.07,11.21,10310778.48,2023-06-09 18:10:00
161,2023-06-10,54870371.53,46835478.27,8034893.26,244368.68,326465.69,7952796.25,1948435.08,6004361.17,14.64,10.94,10345275.68,2023-06-10 18:10:00
162,2023-06-11,53589243.81,46166320.92,7422922.89,257261.78,441379.76,7238804.91,1773507.2,5465297.71,13.85,10.2,9643849.78,2023-06-11 18:10:00
163,2023-06-12,52855686.54,46206773.66,6648912.88,297921.88,254574.12,6692260.64,1639603.86,5052656.78,12.58,9.56,8792546.74,2023-06-12 18:10:00
164,2023-06-13,47718440.01,39916406.64,7802033.37,266587.17,171656.32,7896964.22,1934756.23,5962207.99,16.35,12.49,9723174.78,2023-06-13 18:10:00
165,2023-06-14,51528277.61,43611501.26,7916776.35,289851.54,277762.76,7928865.13,1942571.96,5986293.17,15.36,11.62,9958571.69,2023-06-14 18:10:00
166,2023-06-15,49716782.74,42600676.84,7116105.9,249039.18,344287.99,7020857.09,1720109.99,5300747.1,14.31,10.66,9112964.0,2023-06-15 18:10:00
167,2023-06-16,57219097.19,47564073.88,9655023.31,186716.39,441784.84,9399954.86,2302988.94,7096965.92,16.87,12.4,11889847.21,2023-06-16 18:10:00
168,2023-06-17,55028346.67,47431037.19,7597309.48,192724.17,490878.56,7299155.09,1788293.0,5510862.09,13.81,10.01,9965552.74,2023-06-17 18:10:00
