id,date,passenger_mainline,passenger_regional,cargo_mail,ancillary_bags,ancillary_seats,ancillary_wifi,ancillary_other,loyalty_program,contract_carrier,total_revenue,load_factor,rasm,asm,rpm,created_at
13,2023-01-13,32231911.57,6491500.55,2323276.4,2531166.66,1741523.56,894150.8,574700.27,1648688.95,1269496.83,49706415.59,84.0,9.3603,531033865,446011253,2023-01-13 18:00:00
14,2023-01-14,34646243.55,7517353.86,2258595.96,2958000.27,1657642.77,1030851.19,476127.53,1853661.18,1713663.14,54112139.45,83.5,9.5927,564097076,471235106,2023-01-14 18:00:00
15,2023-01-15,32909515.2,7329685.1,2508396.19,2923407.86,2038826.14,942305.2,605876.66,1786857.62,1250958.0,52295827.97,84.4,9.621,543561906,458865278,2023-01-15 18:00:00
16,2023-01-16,28604404.83,5881087.06,2425762.6,2922865.95,1831441.04,490882.51,801847.51,1464309.26,1010533.89,45433134.65,79.9,9.2134,493122590,394053526,2023-01-16 18:00:00
17,2023-01-17,30159387.36,5987380.67,2244707.82,2800698.33,1871461.94,805421.49,911754.74,1568517.31,1267838.32,47617167.98,79.0,9.4856,501994517,396347114,2023-01-17 18:00:00
18,2023-01-18,27291259.75,6190384.61,2467960.1,2651224.95,1465561.52,810561.67,626016.79,1262621.14,1437509.81,44203100.34,80.1,9.2527,477729676,382894006,2023-01-18 18:00:00
19,2023-01-19,30078771.94,6133190.51,2491647.55,2373032.41,1864126.82,1039556.38,584920.32,1071361.4,1491244.87,47127852.2,80.7,9.1385,515709374,415962525,2023-01-19 18:00:00
20,2023-01-20,32303104.83,6731032.42,2209198.49,2576436.56,1816697.09,1122398.2,682029.68,1490446.04,1735350.83,50666694.14,83.2,9.5133,532587631,443261728,2023-01-20 18:00:00
21,2023-01-21,32568438.16,6640930.09,2259634.63,2691657.66,1657544.49,734333.54,778169.4,1599366.43,1593112.17,50523186.57,84.6,9.2524,546052915,461902710,2023-01-21 18:00:00
22,2023-01-22,31471264.74,6219612.33,1932322.51,2629873.38,2075071.67,837170.22,495611.89,1426392.58,1393736.62,48481055.94,82.9,9.1756,528366566,437961368,2023-01-22 18:00:00
23,2023-01-23,29913616.04,7170350.05,2144218.82,2241120.65,1990578.31,650188.62,589597.47,1348979.03,1217200.09,47265849.08,81.3,8.9526,527954072,429428876,2023-01-23 18:00:00
24,2023-01-24,28663386.9,6333634.62,2208040.85,2799247.34,1937391.68,976835.05,795110.09,1180341.36,1628625.93,46522613.82,79.8,9.3573,497180276,396851779,2023-01-24 18:00:00
25,2023-01-25,28315858.31,6332598.85,2359606.76,2656976.55,1561144.2,907563.6,504508.17,1160704.02,1302717.75,45101678.21,81.6,9.2339,488434462,398740818,2023-01-25 18:00:00
26,2023-01-26,29013554.37,6295539.71,2166569.1,2377464.11,2014553.2,853066.73,551370.7,1601279.61,1255351.8,46128749.33,81.2,9.2249,500048581,405976176,2023-01-26 18:00:00
27,2023-01-27,32754668.31,7737210.6,2245715.94,2994337.0,1835943.12,938892.24,722331.32,1813682.71,1294783.41,52337564.65,82.9,9.6034,544991061,451631377,2023-01-27 18:00:00
28,2023-01-28,33369493.91,8204783.33,2110549.12,2910787.31,2176625.7,1118629.67,771922.12,1534555.05,1158175.74,53355521.95,83.6,9.5583,558214245,466499966,2023-01-28 18:00:00
29,2023-01-29,32788721.54,7388240.0,2369871.11,3023063.72,1833305.91,1076955.42,639379.54,1554435.19,1286941.31,51960913.74,83.7,9.4639,549042725,459624966,2023-01-29 18:00:00
30,2023-01-30,29433127.77,6986333.15,2415294.97,2106144.23,1713247.7,960467.09,656590.02,1209575.27,1324872.8,46805653.0,81.2,9.0253,518607493,421060300,2023-01-30 18:00:00
31,2023-01-31,32861544.9,7077296.9,2408674.51,2745364.84,1335183.54,980152.08,802865.32,1617211.08,1482506.19,51310799.36,83.7,9.6024,534353233,447350724,2023-01-31 18:00:00
32,2023-02-01,28311985.05,6508921.58,2283961.42,2390086.87,1630337.0,753186.2,844994.05,1551447.12,1271874.82,45546794.11,81.6,9.4734,480785771,392081542,2023-02-01 18:00:00
33,2023-02-02,27254713.73,7036194.94,1998416.12,2486622.54,1655143.87,846763.06,585840.68,1045323.1,1131105.12,44040123.16,81.4,8.9981,489436978,398642623,2023-02-02 18:00:00
34,2023-02-03,30101695.86,6658768.72,2164173.98,2369473.77,1707356.24,941104.47,657264.83,1454496.38,1077268.15,47131602.4,81.8,9.158,514651635,420966519,2023-02-03 18:00:00
35,2023-02-04,33276349.27,7341622.54,2200599.8,1996604.01,2464097.18,906362.9,935391.83,1620395.53,1367547.93,52108970.99,83.3,9.4236,552962687,460670620,2023-02-04 18:00:00
36,2023-02-05,34136484.12,7300892.11,2198958.55,2532346.9,1730729.01,907859.94,676016.28,1660331.43,1345625.95,52489244.29,84.1,9.522,551243805,463782825,2023-02-05 18:00:00
37,2023-02-06,30637338.87,5623625.21,2283375.24,2585470.33,1700107.3,996732.3,511722.84,1660975.4,1245265.62,47244613.11,81.2,9.4194,501566121,407227865,2023-02-06 18:00:00
38,2023-02-07,29278443.5,6415461.01,2525748.79,2507372.0,1544760.52,1014687.34,673433.36,1644865.62,1259169.57,46863941.71,83.7,9.7421,481048006,402804274,2023-02-07 18:00:00
39,2023-02-08,28658638.63,5873418.6,2411686.7,2918523.57,1590261.67,716535.23,753856.89,1284840.76,1396188.99,45603951.04,81.9,9.5683,476614788,390532520,2023-02-08 18:00:00
40,2023-02-09,30382007.19,7252559.67,2083186.48,2759520.68,2073611.62,818688.55,712281.5,1499834.17,1556598.64,49138288.5,83.7,9.6583,508764931,426042598,2023-02-09 18:00:00
41,2023-02-10,32170228.4,7878957.5,2381744.46,2760697.89,2310602.67,945924.78,695260.96,1493379.59,1209114.45,51845910.7,84.8,9.5776,541325280,459172432,2023-02-10 18:00:00
42,2023-02-11,34363784.49,6772062.48,2371917.28,2909790.81,1869171.98,1029071.5,556914.15,1472124.72,1348231.57,52693068.98,84.8,9.5153,553770309,469858842,2023-02-11 18:00:00
43,2023-02-12,31781729.15,7616961.07,2108168.24,3052375.55,1723076.31,823481.59,691777.74,1504994.25,1487399.93,50789963.83,84.7,9.6863,524346395,444364840,2023-02-12 18:00:00
44,2023-02-13,29911106.73,7024253.18,2403412.86,2365935.51,1517778.42,1062863.73,805584.46,1476337.38,1209759.62,47777031.89,82.4,9.3964,508463699,419001986,2023-02-13 18:00:00
45,2023-02-14,29141371.15,6723883.11,2218779.75,2436135.93,2053017.85,865160.13,497254.71,1372111.07,1331497.61,46639211.31,84.5,9.3885,496768411,419813764,2023-02-14 18:00:00
46,2023-02-15,28204549.13,6162229.87,1991420.67,2090166.33,1945212.34,849677.09,592888.15,1173142.67,1327917.66,44337203.91,79.7,8.9865,493374251,393248029,2023-02-15 18:00:00
47,2023-02-16,29537126.68,7013633.97,2323166.94,2929759.84,1747184.42,1034849.07,604036.04,1290246.58,1124087.86,47604091.4,80.1,9.2703,513513901,411468205,2023-02-16 18:00:00
48,2023-02-17,32401595.89,7154361.15,2277274.99,2881311.57,1582209.02,849043.43,622408.14,1416612.77,1360973.29,50545790.25,84.4,9.4569,534485792,451191199,2023-02-17 18:00:00
49,2023-02-18,34728544.47,7006540.23,2194543.73,2706213.74,1720684.76,960114.8,798468.0,1451228.78,1339049.67,52905388.18,85.1,9.4919,557375375,474441135,2023-02-18 18:00:00
50,2023-02-19,33564969.03,7885380.6,2225354.9,2814605.58,2059715.52,771548.25,797947.43,1596608.31,1422857.89,53138987.51,86.0,9.8889,537361743,461938356,2023-02-19 18:00:00
51,2023-02-20,29661341.45,7758976.36,2100565.5,2672383.28,1910033.28,810068.98,703902.42,1426430.53,1144003.21,48187705.01,83.2,9.4406,510429301,424850893,2023-02-20 18:00:00
52,2023-02-21,29478840.96,6310579.4,2334096.92,2431792.45,1281470.02,649840.12,533353.62,1500401.9,1335596.06,45855971.45,82.2,9.0728,505420129,415622204,2023-02-21 18:00:00
53,2023-02-22,28615428.5,6041151.42,2214391.06,2279370.36,1643370.34,886832.12,441137.31,1193603.56,1555187.99,44870472.66,83.9,9.5552,469592289,394186101,2023-02-22 18:00:00
54,2023-02-23,30605683.07,7080410.78,2248258.96,2401238.13,2232573.39,908376.28,705447.34,1319490.77,1666566.17,49168044.89,84.0,9.9037,496460899,416919344,2023-02-23 18:00:00
55,2023-02-24,33171786.3,7767961.1,2278563.54,2932041.55,1932585.83,892046.48,662650.35,1783741.4,1538923.09,52960299.64,85.5,10.1026,524221948,448121110,2023-02-24 18:00:00
56,2023-02-25,34040735.42,7669097.72,2007487.39,2771578.2,2448111.13,939466.6,999206.2,1537876.03,1145574.39,53559133.08,86.4,9.9831,536500432,463724430,2023-02-25 18:00:00
57,2023-02-26,32168362.23,7367015.25,2050269.08,2588344.36,2097131.74,998694.65,950190.33,1484590.99,1406204.51,51110803.14,85.6,9.5987,532476137,455917611,2023-02-26 18:00:00
58,2023-02-27,31966794.22,6105978.65,1814904.85,2290081.4,1640720.11,749839.2,957813.36,1442485.01,1256657.9,48225274.7,82.1,9.1116,529273556,434712704,2023-02-27 18:00:00
59,2023-02-28,29311693.12,6937542.32,2300515.92,2514251.68,1690072.06,844665.43,534632.28,1514393.14,1379446.81,47027212.76,83.7,9.7253,483555517,404519051,2023-02-28 18:00:00
60,2023-03-01,32703183.98,7038807.48,2113737.18,2720504.8,1928521.35,1007193.94,793950.78,1695955.84,1289321.61,51291176.96,83.0,9.5221,538653200,446856812,2023-03-01 18:00:00
61,2023-03-02,31274545.52,6396559.18,2361590.14,2557742.31,1638157.8,652728.03,796994.58,1612704.48,1128818.51,48419840.55,82.8,9.5451,507273155,420185785,2023-03-02 18:00:00
62,2023-03-03,34026627.25,8930988.46,2402077.34,2959898.27,1777586.93,1045970.08,851802.75,1569744.88,1362252.92,54926948.88,87.1,9.7922,560923229,488569596,2023-03-03 18:00:00
63,2023-03-04,35735257.73,7184141.02,2441059.38,3304797.44,2574873.58,761295.0,735517.66,1487938.23,1544218.21,55769098.25,82.4,9.5229,585629440,482516251,2023-03-04 18:00:00
64,2023-03-05,35409281.02,8414842.96,2100868.73,3258208.18,1847695.77,974804.12,960181.42,1969678.98,1470109.72,56405670.9,83.6,9.6914,582017639,486744703,2023-03-05 18:00:00
65,2023-03-06,33511006.37,7163210.08,2308622.44,3033660.42,2299776.21,782362.55,737305.81,1684985.17,1489710.67,53010639.72,81.4,9.6199,551053289,448573617,2023-03-06 18:00:00
66,2023-03-07,32164234.73,6972795.05,2626160.94,2656550.2,1817540.57,1084738.38,724094.91,1406114.36,1457892.06,50910121.2,82.4,9.4055,541280727,445933183,2023-03-07 18:00:00
67,2023-03-08,31431904.03,6174263.47,2629610.19,2493493.47,1879467.1,734611.24,498153.75,1669634.27,1489980.03,49001117.55,82.5,9.464,517765399,427188651,2023-03-08 18:00:00
68,2023-03-09,29630221.68,6479516.65,2490613.78,2209254.32,1910993.9,634064.24,728282.99,1283639.14,1511292.35,46877879.05,81.0,8.9029,526546140,426458685,2023-03-09 18:00:00
69,2023-03-10,34334175.36,8837787.49,2366294.78,2714749.51,1895642.37,979671.05,719587.77,1821548.76,1374161.32,55043618.41,84.1,9.4773,580795761,488477229,2023-03-10 18:00:00
70,2023-03-11,35016708.12,8237019.53,2114923.15,2983301.01,2260091.6,922521.76,835467.68,1869591.87,1435134.5,55674759.22,84.2,9.6165,578951903,487699369,2023-03-11 18:00:00
71,2023-03-12,34817277.17,7696308.27,2427560.35,2685705.14,1519027.75,765338.73,798724.17,1441177.14,1718260.42,53869379.14,88.2,9.8028,549528118,484697036,2023-03-12 18:00:00
72,2023-03-13,32444558.31,7440174.54,2262331.85,2788952.77,2060802.39,976687.0,737261.91,1586824.14,1445219.13,51742812.04,84.9,9.9389,520611060,441976103,2023-03-13 18:00:00
73,2023-03-14,31096009.31,6376140.15,2389535.78,2342942.29,1251669.07,622977.57,678426.17,1552031.48,1428257.93,47737989.75,82.2,9.2972,513464442,422157274,2023-03-14 18:00:00
74,2023-03-15,30752138.39,6475229.9,2167078.19,2103141.24,1789320.13,733593.37,773305.54,1816668.61,1438543.87,48049019.24,82.3,9.0607,530300171,436178139,2023-03-15 18:00:00
75,2023-03-16,32306199.81,6503758.32,2246760.76,3010745.96,2159150.75,830241.13,685034.55,1366180.55,1383842.24,50491914.07,81.3,9.4305,535411867,435195588,2023-03-16 18:00:00
76,2023-03-17,34310879.5,7693072.34,2303755.93,2753648.94,2229464.76,1070804.45,555122.94,1824059.56,1346763.1,54087571.52,82.8,9.3741,576989388,477999385,2023-03-17 18:00:00
77,2023-03-18,35380751.89,8767906.24,2314204.95,2711215.11,1755335.2,1173999.63,858896.85,1630583.16,1456583.86,56049476.89,85.0,9.7681,573800762,487520257,2023-03-18 18:00:00
78,2023-03-19,34155312.71,7811063.55,2354532.27,2529594.67,1729716.74,1107012.25,640889.53,1359148.48,1334765.44,53022035.64,83.9,9.2532,573013790,480612180,2023-03-19 18:00:00
79,2023-03-20,33355748.53,7045487.82,2155878.03,2976345.44,1817575.54,913510.71,557139.49,1514353.12,1396186.79,51732225.47,82.4,9.4414,547930267,451694785,2023-03-20 18:00:00
80,2023-03-21,30325377.58,7044092.91,2013713.45,2994603.05,1864699.19,554674.42,543158.65,1395341.09,1286201.43,48021861.77,80.6,9.1996,522001557,420643828,2023-03-21 18:00:00
81,2023-03-22,32099340.96,6590378.78,2544375.75,2599059.93,1404170.73,948966.04,742564.63,1306621.3,1439418.17,49674896.29,81.6,9.3999,528464539,430972372,2023-03-22 18:00:00
82,2023-03-23,32060872.5,6386661.22,2694716.8,2656062.66,1920260.68,1086295.94,692961.29,1524842.93,1520616.92,50543290.94,82.6,9.6956,521302199,430626635,2023-03-23 18:00:00
83,2023-03-24,34837031.69,7391817.51,2322982.41,3334472.42,2177016.1,1147363.27,469229.31,1769339.61,1384864.28,54834116.6,85.3,9.8317,557730432,475894036,2023-03-24 18:00:00
84,2023-03-25,33573656.24,9244617.31,2001128.63,2245927.96,1938398.63,1002233.94,687097.51,1584374.52,1078531.31,53355966.05,85.3,9.31,573102951,489124576,2023-03-25 18:00:00
85,2023-03-26,32017269.09,8163594.16,2095511.13,3351205.5,2055590.89,744145.01,854122.28,1386052.54,1521670.16,52189160.76,83.2,9.5173,548358658,456333183,2023-03-26 18:00:00
86,2023-03-27,33628827.67,6030168.92,2319939.44,3680372.63,2077918.31,870945.34,679128.03,1521961.36,1441493.75,52250755.45,83.3,9.6019,544168451,453203387,2023-03-27 18:00:00
87,2023-03-28,30739425.03,6867298.78,2463288.36,1844365.5,1711164.38,1098481.27,655920.73,1413315.25,1251634.17,48044893.47,81.3,9.2756,517970762,420860878,2023-03-28 18:00:00
88,2023-03-29,30573587.88,7563762.9,2004653.43,2568944.73,1360845.23,682802.44,800170.89,1439606.55,1552858.04,48547232.09,82.9,9.3367,519962238,431175191,2023-03-29 18:00:00
89,2023-03-30,33370868.56,6494380.41,2193486.19,2596604.96,2037869.0,781166.48,840343.78,1720240.04,1182540.53,51217499.95,82.1,9.5221,537880223,441619460,2023-03-30 18:00:00
90,2023-03-31,34529430.24,7471958.81,2245629.73,2843577.39,1808492.62,1097007.12,900769.4,1635303.41,1599262.91,54131431.63,82.9,9.503,569626013,472306289,2023-03-31 18:00:00
91,2023-04-01,36920551.37,7148099.07,2407175.96,2983776.79,2044411.25,970100.89,443046.62,1439403.7,1440018.21,55796583.86,84.1,9.2772,601434673,506026921,2023-04-01 18:00:00
92,2023-04-02,35909900.93,7529178.13,2185046.45,3343843.47,2292236.48,835730.39,1039020.38,1550890.97,1055217.48,55741064.68,84.9,9.6648,576744435,489671684,2023-04-02 18:00:00
93,2023-04-03,33055385.03,6711608.64,1961657.02,2772497.31,2358127.11,1127581.48,811364.32,1547987.16,1481029.35,51827237.42,82.6,9.6243,538505585,445058956,2023-04-03 18:00:00
94,2023-04-04,32366271.89,6503618.67,2348717.39,2456306.4,1932121.4,965946.27,1030733.24,1670767.1,1379322.53,50653804.89,81.7,9.5041,532968323,435374243,2023-04-04 18:00:00
95,2023-04-05,32336338.0,6265315.06,2433807.46,2692910.35,2083511.7,856033.26,610209.2,1697309.55,1353108.22,50328542.8,83.6,10.0303,501762751,419680906,2023-04-05 18:00:00
96,2023-04-06,31830804.86,5581653.43,2213529.0,2869478.38,1542016.77,745378.8,475749.5,1746665.34,1321635.72,48326911.8,83.0,9.3708,515720769,427825335,2023-04-06 18:00:00
97,2023-04-07,34171321.92,6645539.29,2295713.83,2500069.14,2117398.24,1236647.37,752755.74,1594197.14,1427864.45,52741507.12,83.9,9.6101,548814770,460365750,2023-04-07 18:00:00
98,2023-04-08,35281971.72,8314118.3,2134775.38,2418143.89,2100009.51,984444.37,737340.66,1757625.96,1365577.17,55094006.96,85.0,9.6669,569923903,484634362,2023-04-08 18:00:00
99,2023-04-09,37207681.55,7582842.01,2064567.98,3904106.33,2598354.56,1249780.43,915854.28,1440967.64,1126935.9,58091090.68,86.4,9.9605,583215644,503885897,2023-04-09 18:00:00
100,2023-04-10,32665773.03,6298137.03,2391255.2,2566737.07,1818710.43,1031406.57,859100.47,1572837.63,1671339.81,50875297.24,83.9,9.6242,528621179,443364505,2023-04-10 18:00:00
101,2023-04-11,30333435.54,5923871.77,2273573.75,2536678.14,1761368.54,786133.26,656743.86,1232255.76,1407481.77,46911542.39,80.0,8.9155,526179286,420875928,2023-04-11 18:00:00
102,2023-04-12,31759782.9,6864002.94,2286969.39,2573242.59,2174608.71,824110.33,668135.88,1451018.86,1322643.31,49924514.91,80.3,9.1268,547011969,439195729,2023-04-12 18:00:00
103,2023-04-13,32135006.77,6425628.61,2459981.85,2907603.6,1904440.35,1085689.55,774160.57,1928100.41,1253654.28,50874265.99,83.1,9.5754,531303863,441642960,2023-04-13 18:00:00
104,2023-04-14,34341946.83,6728638.73,2006599.55,3527876.05,1755878.64,1162477.28,720311.53,1631852.77,1584107.38,53459688.76,82.5,9.1876,581865136,480113564,2023-04-14 18:00:00
105,2023-04-15,34736656.81,5891629.85,2090429.04,3154065.46,2778932.55,711835.25,716967.08,1447856.3,1224072.84,52752445.18,82.1,9.2741,568812021,467198432,2023-04-15 18:00:00
106,2023-04-16,33727709.67,7592351.39,2210080.37,2354745.53,1732634.87,1018547.19,881930.36,1620243.59,1473313.79,52611556.76,83.1,9.222,570501606,473968809,2023-04-16 18:00:00
107,2023-04-17,31691249.51,7038882.24,2079691.4,2255110.2,1885071.56,871989.19,856903.23,1375863.68,1348445.07,49403206.08,81.6,9.3956,525813355,429099172,2023-04-17 18:00:00
108,2023-04-18,31436418.69,6506362.87,2309727.54,2546675.35,1973374.19,750283.8,827905.28,1295063.49,1358576.98,49004388.19,80.9,9.3391,524721259,424600466,2023-04-18 18:00:00
109,2023-04-19,30847986.17,6709115.26,2136590.26,2539334.28,1916922.86,896040.97,657897.5,1743395.46,1257980.64,48705263.4,80.2,9.0593,537626044,431181768,2023-04-19 18:00:00
110,2023-04-20,29326316.27,6459695.21,1992808.2,1987752.01,1715063.11,662822.05,394170.44,1505438.88,1342064.42,45386130.59,80.1,8.9484,507196716,406327053,2023-04-20 18:00:00
111,2023-04-21,32307604.21,8700301.41,2171663.32,3010855.78,1890702.93,844332.7,691614.56,1541967.1,1451533.36,52610575.37,82.5,9.1591,574404806,473920113,2023-04-21 18:00:00
112,2023-04-22,34838108.91,7366120.74,2185308.15,2582785.72,2024809.88,864197.79,660812.04,1534301.1,1490944.33,53547388.66,82.2,9.1215,587045200,482818524,2023-04-22 18:00:00
113,2023-04-23,35826324.16,7079765.06,2312473.76,3580232.61,1829740.98,931514.34,769588.85,1592338.69,1313306.91,55235285.36,86.0,9.8356,561582605,482842905,2023-04-23 18:00:00
114,2023-04-24,30964072.73,6287483.48,2214813.87,3195688.18,2390480.72,858140.98,598090.77,1663154.95,1434177.41,49606103.09,81.0,9.6188,515722593,417932854,2023-04-24 18:00:00
115,2023-04-25,31871832.5,5683536.09,2222058.14,2629982.81,1856217.84,762939.43,698536.25,1514960.23,1604591.07,48844654.36,81.7,9.2303,529179257,432265282,2023-04-25 18:00:00
116,2023-04-26,30763128.64,6168427.81,2193552.85,2749907.65,1992695.44,1054951.24,548903.35,940920.26,1160702.63,47573189.87,80.0,9.2543,514065048,411128153,2023-04-26 18:00:00
117,2023-04-27,30960753.04,5749329.71,2102394.11,2250243.87,1774756.35,927990.77,522528.66,1798965.04,1448909.2,47535870.75,80.3,8.8593,536563436,430758257,2023-04-27 18:00:00
118,2023-04-28,33134422.94,7050509.84,2008290.26,3023077.5,1894026.26,1165611.08,891010.01,1554511.78,1284563.59,52006023.26,82.1,9.2013,565204556,463974081,2023-04-28 18:00:00
119,2023-04-29,36336574.76,6726855.26,2175338.92,2907582.79,2047800.38,994157.06,658468.5,1733866.71,1266832.95,54847477.33,79.7,9.0126,608566761,485064403,2023-04-29 18:00:00
120,2023-04-30,34844134.98,6918218.57,2065545.38,2582913.73,1658623.81,899147.33,766617.19,1792154.91,1495416.0,53022771.9,81.2,9.3759,565521598,459074733,2023-04-30 18:00:00
121,2023-05-01,31398910.27,5632275.59,2476485.92,2578059.34,1843587.99,1100018.82,810658.93,1517415.58,1395780.03,48753192.47,78.1,9.092,536217823,418793716,2023-05-01 18:00:00
122,2023-05-02,30823058.42,6564467.69,2411214.61,2476402.18,1749021.74,791775.36,790833.88,1532970.73,1275424.54,48415169.15,77.5,8.8872,544777010,422302168,2023-05-02 18:00:00
123,2023-05-03,29725555.8,6284296.05,2283331.85,2430016.8,2062127.09,811116.24,748471.45,1304398.49,1730838.03,47380151.8,78.7,8.7806,539601325,424818672,2023-05-03 18:00:00
124,2023-05-04,32595276.73,6695937.1,2234913.27,3080149.31,1643662.43,1006548.33,756584.16,1298955.14,1658398.44,50970424.91,81.7,8.9556,569142838,464977746,2023-05-04 18:00:00
125,2023-05-05,35715785.19,7409232.35,2149973.34,2755362.97,1978040.99,823216.59,889180.66,1692969.79,1147192.13,54560954.01,82.5,9.1818,594227644,490241543,2023-05-05 18:00:00
126,2023-05-06,36780061.05,7507767.24,1943182.94,3764447.71,1942446.1,1134487.56,1011170.4,1955157.18,1229252.99,57267973.17,84.0,9.5072,602361993,506281570,2023-05-06 18:00:00
127,2023-05-07,36933447.47,6380467.37,2119987.39,2649952.83,2642227.81,1120316.6,875326.04,1579310.67,1599859.38,55900895.56,82.9,9.159,610335938,506221441,2023-05-07 18:00:00
128,2023-05-08,31225733.0,6580256.05,2170877.09,3158617.25,1656360.65,1032862.98,457494.17,1322718.3,1442444.91,49047364.4,80.8,9.2253,531658874,429770248,2023-05-08 18:00:00
129,2023-05-09,30572265.31,6256803.06,2189029.28,2287872.23,1971862.16,964866.14,607956.01,1592970.83,1762432.99,48206058.01,78.8,9.1009,529685093,417205411,2023-05-09 18:00:00
130,2023-05-10,31437292.37,5640173.66,2226384.18,2671851.32,2130231.54,1043715.38,779188.39,1374242.69,1603959.81,48907039.34,80.4,9.4151,519450818,417766950,2023-05-10 18:00:00
131,2023-05-11,32069972.7,6019402.48,2299927.32,2568741.92,1886709.1,883794.33,625095.6,1409385.52,1547170.21,49310199.18,80.6,9.1534,538709520,434315585,2023-05-11 18:00:00
132,2023-05-12,33655295.72,6926110.17,2019953.38,2745017.23,1648621.89,826214.58,958517.11,1485352.2,1310361.77,51575444.05,81.5,9.3095,554008768,451555968,2023-05-12 18:00:00
133,2023-05-13,35392084.96,8980783.3,2018072.38,3291944.26,1737283.1,1289685.51,769681.61,1616536.85,1581575.93,56677647.9,82.8,9.361,605462591,501464412,2023-05-13 18:00:00
134,2023-05-14,34890750.64,6926331.68,2378507.55,3489014.63,2333427.55,763870.79,779494.09,1330447.46,1264857.58,54156701.97,82.8,9.3532,579019098,479342269,2023-05-14 18:00:00
135,2023-05-15,29941714.5,7186382.62,2258853.75,2901509.24,1494548.1,667519.02,793424.8,1296575.03,1727425.93,48267952.99,78.9,9.1862,525441150,414579542,2023-05-15 18:00:00
136,2023-05-16,29441176.67,5301715.16,2057753.11,2383305.55,1858804.4,890905.08,626172.62,1388205.65,1569155.68,45517193.92,78.2,8.7182,522091331,408115048,2023-05-16 18:00:00
137,2023-05-17,32282444.13,6106316.44,2102558.49,2803489.84,1966478.4,1113742.52,732976.39,1521025.76,1345673.86,49974705.83,78.1,9.2921,537818270,419781088,2023-05-17 18:00:00
138,2023-05-18,32699371.64,6234696.11,2099997.33,2523712.04,2060618.26,940375.18,836989.27,1693499.32,1637714.29,50726973.44,79.5,9.1028,557266936,443224113,2023-05-18 18:00:00
139,2023-05-19,36252602.51,8030118.91,2119443.82,2722008.42,2311925.56,1159982.31,584062.69,2001033.49,1895226.09,57076403.8,82.3,9.3435,610869338,502641470,2023-05-19 18:00:00
140,2023-05-20,37402462.15,8731028.12,2190693.3,2750464.52,1964775.04,748677.2,780170.75,2003366.28,1454498.66,58026136.02,80.9,9.0044,644418214,521331984,2023-05-20 18:00:00
141,2023-05-21,36295758.47,7269590.85,2535140.69,2926318.92,1894485.23,943755.78,918885.68,1835594.9,1592145.05,56211675.57,81.8,9.5487,588681361,481798863,2023-05-21 18:00:00
142,2023-05-22,31206067.11,6265601.31,2136540.02,2730407.81,2050844.54,639855.72,694721.97,1412271.98,1416107.55,48552418.01,80.0,9.1248,532090809,425453100,2023-05-22 18:00:00
