id,transaction_id,transaction_type,booking_date,service_date,recognition_date,gross_amount,recognized_amount,deferred_amount,recognition_method,performance_obligation,status,flight_number,route,notes,created_at
102,TXN-100102,Cargo,2025-03-05,2025-03-30,2025-03-30,15156.56,15156.56,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK466,LHR-JFK,ASC 606 - Cargo revenue for LHR-JFK,2025-03-30 08:30:00
103,TXN-100103,Ticket,2025-11-13,2025-11-18,2025-11-18,657.23,657.23,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK785,BOS-ATL,ASC 606 - Ticket revenue for BOS-ATL,2025-11-18 12:15:00
104,TXN-100104,Ticket,2024-12-10,2025-01-23,2025-01-23,1264.58,1264.58,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK593,SEA-DEN,ASC 606 - Ticket revenue for SEA-DEN,2025-01-23 10:00:00
105,TXN-100105,Ticket,2025-11-24,2025-12-29,2025-12-29,334.32,334.32,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK436,MCO-LGA,ASC 606 - Ticket revenue for MCO-LGA,2025-12-29 10:00:00
106,TXN-100106,Cargo,2023-11-09,2023-11-28,2023-11-28,40783.45,40783.45,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK230,DEN-ATL,ASC 606 - Cargo revenue for DEN-ATL,2023-11-28 10:00:00
107,TXN-100107,Ticket,2024-12-14,2025-01-11,2025-01-11,630.66,630.66,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK557,SEA-DEN,ASC 606 - Ticket revenue for SEA-DEN,2025-01-11 08:30:00
108,TXN-100108,Cargo,2023-01-05,2023-01-23,2023-01-23,24423.71,24423.71,0.0,Point-in-time (delivery at destination),Cargo transport to destination,Recognized,SK161,ATL-LAX,ASC 606 - Cargo revenue for ATL-LAX,2023-01-23 10:00:00
109,TXN-100109,Ticket,2023-05-28,2023-06-16,2023-06-16,799.37,799.37,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK784,MCO-LGA,ASC 606 - Ticket revenue for MCO-LGA,2023-06-16 12:15:00
110,TXN-100110,Ticket,2024-11-28,2025-01-04,2025-01-04,1304.63,1304.63,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK588,JFK-SFO,ASC 606 - Ticket revenue for JFK-SFO,2025-01-04 12:15:00
111,TXN-100111,Ticket,2023-12-09,2024-01-12,2024-01-12,436.31,436.31,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK778,LAX-JFK,ASC 606 - Ticket revenue for LAX-JFK,2024-01-12 08:30:00
112,TXN-100112,Ticket,2024-09-04,2024-10-09,2024-10-09,1799.54,1799.54,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK812,ATL-LAX,ASC 606 - Ticket revenue for ATL-LAX,2024-10-09 08:30:00
113,TXN-100113,Ticket,2025-10-19,2025-12-22,2025-12-22,362.95,0.0,362.95,Point-in-time (flight departure),Air transportation service,Deferred,SK869,DEN-ATL,ASC 606 - Ticket revenue for DEN-ATL,2025-10-19 08:30:00
114,TXN-100114,Ticket,2025-04-18,2025-05-25,2025-05-25,470.08,470.08,0.0,Point-in-time (flight departure),Air transportation service,Recognized,SK552,DEN-ATL,ASC 606 - Ticket revenue for DEN-ATL,2025-05-25 10:00:00
