id,vendor_name,vendor_code,invoice_number,invoice_date,due_date,amount,paid_amount,balance,category,payment_terms,status,currency,description,created_at
27,Swissport Fueling,V-SWI553,AP-70027,2023-01-13,2023-01-28,1794897.51,351588.0,1443309.51,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-01-13 11:30:00
28,World Fuel Services,V-WOR909,AP-70028,2023-01-13,2023-01-28,1999271.76,700757.79,1298513.97,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-01-13 11:30:00
29,Signature Aviation,V-SIG943,AP-70029,2023-01-14,2023-01-29,1907610.65,534537.35,1373073.3,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-01-14 11:30:00
30,Swissport,V-SWI574,AP-70030,2023-01-14,2023-01-29,950645.47,424198.74,526446.73,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-01-14 11:30:00
31,GE Aerospace Services,V-GEA951,AP-70031,2023-01-15,2023-02-14,1886345.3,740592.81,1145752.49,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-01-15 11:30:00
32,AerCap,V-AER832,AP-70032,2023-01-16,2023-02-15,3138405.26,11931.5,3126473.76,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-01-16 11:30:00
33,Sabre Travel Network,V-SAB834,AP-70033,2023-01-16,2023-02-15,932288.15,165344.24,766943.91,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-01-16 11:30:00
34,ConEdison,V-CON551,AP-70034,2023-01-18,2023-02-17,232578.04,45745.89,186832.15,General Admin,Net 30,Overdue,USD,General Admin services from ConEdison,2023-01-18 11:30:00
35,Visa Merchant Services,V-VIS840,AP-70035,2023-01-18,2023-02-17,527552.04,198318.96,329233.08,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-01-18 11:30:00
36,dnata Catering,V-DNA350,AP-70036,2023-01-18,2023-02-17,1194391.76,98423.59,1095968.17,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-01-18 11:30:00
37,AerCap,V-AER832,AP-70037,2023-01-20,2023-02-19,3173321.03,1224622.52,1948698.51,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-01-20 11:30:00
38,Amadeus,V-AMA488,AP-70038,2023-01-20,2023-02-19,1223545.26,492389.57,731155.69,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-01-20 11:30:00
39,Chevron Aviation,V-CHE958,AP-70039,2023-01-21,2023-02-05,4681859.92,733287.74,3948572.18,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-01-21 11:30:00
40,JLL,V-JLL158,AP-70040,2023-01-21,2023-02-20,434734.96,72639.41,362095.55,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-01-21 11:30:00
41,LSG Sky Chefs,V-LSG959,AP-70041,2023-01-21,2023-02-20,1310261.11,54731.94,1255529.17,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-01-21 11:30:00
42,Menzies Aviation,V-MEN381,AP-70042,2023-01-21,2023-02-05,824171.46,91571.71,732599.75,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-01-21 11:30:00
43,Pratt & Whitney Services,V-PRA964,AP-70043,2023-01-21,2023-02-20,2068745.32,315790.35,1752954.97,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-01-21 11:30:00
44,Gate Gourmet,V-GAT696,AP-70044,2023-01-22,2023-02-21,1181485.66,493411.23,688074.43,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2023-01-22 11:30:00
45,AAR Corp,V-AAR941,AP-70045,2023-01-23,2023-02-22,2313835.41,785347.46,1528487.95,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-01-23 11:30:00
46,SMBC Aviation Capital,V-SMB239,AP-70046,2023-01-23,2023-02-22,3058237.3,554991.4,2503245.9,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2023-01-23 11:30:00
47,Los Angeles LAX,V-LOS944,AP-70047,2023-01-24,2023-02-08,1800729.87,499702.53,1301027.34,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Los Angeles LAX,2023-01-24 11:30:00
48,Lufthansa Technik,V-LUF443,AP-70048,2023-01-25,2023-02-24,2188200.94,729277.32,1458923.62,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-01-25 11:30:00
49,AAR Corp,V-AAR941,AP-70049,2023-01-26,2023-02-25,2397746.77,426342.22,1971404.55,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-01-26 11:30:00
50,AerCap,V-AER832,AP-70050,2023-01-26,2023-02-25,2865971.24,85224.23,2780747.01,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-01-26 11:30:00
51,World Fuel Services,V-WOR909,AP-70051,2023-01-26,2023-02-10,8053227.64,3456791.02,4596436.62,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-01-26 11:30:00
52,dnata Catering,V-DNA350,AP-70052,2023-01-26,2023-02-25,1022718.79,342514.53,680204.26,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-01-26 11:30:00
53,American Express Merchant,V-AME382,AP-70053,2023-01-27,2023-02-26,798521.7,122777.06,675744.64,Distribution,Net 30,Overdue,USD,Distribution services from American Express Merchant,2023-01-27 11:30:00
54,SMBC Aviation Capital,V-SMB239,AP-70054,2023-01-28,2023-02-27,3684961.51,1413345.94,2271615.57,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2023-01-28 11:30:00
55,Visa Merchant Services,V-VIS840,AP-70055,2023-01-28,2023-02-27,738756.47,37306.67,701449.8,Distribution,Net 30,Overdue,USD,Distribution services from Visa Merchant Services,2023-01-28 11:30:00
56,World Fuel Services,V-WOR909,AP-70056,2023-01-28,2023-02-12,11588593.29,4714722.39,6873870.9,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-01-28 11:30:00
57,dnata Catering,V-DNA350,AP-70057,2023-01-28,2023-02-27,1368883.9,463562.2,905321.7,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-01-28 11:30:00
58,AerCap,V-AER832,AP-70058,2023-01-29,2023-02-28,3698414.78,1019440.28,2678974.5,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-01-29 11:30:00
59,Menzies Aviation,V-MEN381,AP-70059,2023-01-29,2023-02-13,1817973.21,745146.2,1072827.01,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Menzies Aviation,2023-01-29 11:30:00
60,GE Aerospace Services,V-GEA951,AP-70060,2023-01-30,2023-03-01,1728271.9,643406.4,1084865.5,Maintenance,Net 30,Overdue,USD,Maintenance services from GE Aerospace Services,2023-01-30 11:30:00
61,World Fuel Services,V-WOR909,AP-70061,2023-01-30,2023-02-14,728016.96,220748.6,507268.36,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-01-30 11:30:00
62,Los Angeles LAX,V-LOS944,AP-70062,2023-01-31,2023-02-15,2582400.37,928024.47,1654375.9,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Los Angeles LAX,2023-01-31 11:30:00
63,Marsh Aviation,V-MAR666,AP-70063,2023-01-31,2023-03-17,790352.29,217278.23,573074.06,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2023-01-31 11:30:00
64,Chevron Aviation,V-CHE958,AP-70064,2023-02-01,2023-02-16,7162685.53,361335.48,6801350.05,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-02-01 11:30:00
65,Dallas/Fort Worth DFW,V-DAL794,AP-70065,2023-02-01,2023-02-16,2095420.99,931178.21,1164242.78,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Dallas/Fort Worth DFW,2023-02-01 11:30:00
66,AerCap,V-AER832,AP-70066,2023-02-02,2023-03-04,3099369.09,799731.85,2299637.24,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-02-02 11:30:00
67,Mastercard Merchant Services,V-MAS103,AP-70067,2023-02-02,2023-03-04,582276.23,65421.7,516854.53,Distribution,Net 30,Overdue,USD,Distribution services from Mastercard Merchant Services,2023-02-02 11:30:00
68,Swissport Fueling,V-SWI553,AP-70068,2023-02-02,2023-02-17,1572514.26,499957.97,1072556.29,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-02-02 11:30:00
69,AAR Corp,V-AAR941,AP-70069,2023-02-03,2023-03-05,2523117.55,842284.02,1680833.53,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-02-03 11:30:00
70,Marsh Aviation,V-MAR666,AP-70070,2023-02-03,2023-03-20,634626.35,101744.98,532881.37,Insurance,Net 45,Overdue,USD,Insurance services from Marsh Aviation,2023-02-03 11:30:00
71,Menzies Aviation,V-MEN381,AP-70071,2023-02-03,2023-02-18,747442.95,264425.15,483017.8,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-02-03 11:30:00
72,AIG Aviation,V-AIG150,AP-70072,2023-02-04,2023-03-21,863049.59,166897.11,696152.48,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-02-04 11:30:00
73,Chevron Aviation,V-CHE958,AP-70073,2023-02-04,2023-02-19,4178251.27,1038.84,4177212.43,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-02-04 11:30:00
74,AerCap,V-AER832,AP-70074,2023-02-06,2023-03-08,3147956.57,1030255.04,2117701.53,Lease Expense,Net 30,Overdue,USD,Lease Expense services from AerCap,2023-02-06 11:30:00
75,Chevron Aviation,V-CHE958,AP-70075,2023-02-07,2023-02-22,956224.06,245476.91,710747.15,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-02-07 11:30:00
76,Delta TechOps,V-DEL976,AP-70076,2023-02-08,2023-03-10,2632680.26,139980.48,2492699.78,Maintenance,Net 30,Overdue,USD,Maintenance services from Delta TechOps,2023-02-08 11:30:00
77,Gate Gourmet,V-GAT696,AP-70077,2023-02-08,2023-03-10,1027272.86,316179.11,711093.75,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2023-02-08 11:30:00
78,Swissport,V-SWI574,AP-70078,2023-02-08,2023-02-23,800336.42,352229.28,448107.14,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-02-08 11:30:00
79,World Fuel Services,V-WOR909,AP-70079,2023-02-08,2023-02-23,9824449.81,3881614.2,5942835.61,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from World Fuel Services,2023-02-08 11:30:00
80,Delta TechOps,V-DEL976,AP-70080,2023-02-10,2023-03-12,2598466.42,265315.25,2333151.17,Maintenance,Net 30,Overdue,USD,Maintenance services from Delta TechOps,2023-02-10 11:30:00
81,Sabre Travel Network,V-SAB834,AP-70081,2023-02-10,2023-03-12,1181282.0,219113.98,962168.02,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-02-10 11:30:00
82,SITA,V-SIT591,AP-70082,2023-02-11,2023-03-13,524394.41,51772.45,472621.96,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2023-02-11 11:30:00
83,Rolls-Royce TotalCare,V-ROL451,AP-70083,2023-02-12,2023-03-14,1752573.83,435496.16,1317077.67,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-02-12 11:30:00
84,Signature Aviation,V-SIG943,AP-70084,2023-02-12,2023-02-27,1731982.02,69245.42,1662736.6,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-02-12 11:30:00
85,Lufthansa Technik,V-LUF443,AP-70085,2023-02-13,2023-03-15,2392846.64,761597.38,1631249.26,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-02-13 11:30:00
86,Swissport,V-SWI574,AP-70086,2023-02-13,2023-02-28,940005.79,5077.42,934928.37,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-02-13 11:30:00
87,Amadeus,V-AMA488,AP-70087,2023-02-14,2023-03-16,1134709.78,350306.11,784403.67,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-02-14 11:30:00
88,Avolon,V-AVO530,AP-70088,2023-02-15,2023-03-17,3023016.99,729611.99,2293405.0,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-02-15 11:30:00
89,Lufthansa Technik,V-LUF443,AP-70089,2023-02-15,2023-03-17,2186926.05,772688.78,1414237.27,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-02-15 11:30:00
90,AIG Aviation,V-AIG150,AP-70090,2023-02-18,2023-04-04,772230.57,311837.88,460392.69,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-02-18 11:30:00
91,LSG Sky Chefs,V-LSG959,AP-70091,2023-02-19,2023-03-21,1366827.79,326268.58,1040559.21,Catering,Net 30,Overdue,USD,Catering services from LSG Sky Chefs,2023-02-19 11:30:00
92,Sabre Travel Network,V-SAB834,AP-70092,2023-02-20,2023-03-22,948708.67,194792.58,753916.09,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-02-20 11:30:00
93,Amadeus,V-AMA488,AP-70093,2023-02-22,2023-03-24,1004008.72,308291.17,695717.55,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-02-22 11:30:00
94,Avolon,V-AVO530,AP-70094,2023-02-22,2023-03-24,3128022.23,87764.36,3040257.87,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-02-22 11:30:00
95,Pratt & Whitney Services,V-PRA964,AP-70095,2023-02-22,2023-03-24,1737335.83,262374.21,1474961.62,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-02-22 11:30:00
96,Denver DEN,V-DEN420,AP-70096,2023-02-23,2023-03-10,2186938.09,207698.4,1979239.69,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Denver DEN,2023-02-23 11:30:00
97,SMBC Aviation Capital,V-SMB239,AP-70097,2023-02-23,2023-03-25,3060577.56,629461.97,2431115.59,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2023-02-23 11:30:00
98,Signature Aviation,V-SIG943,AP-70098,2023-02-25,2023-03-12,1958241.93,141790.48,1816451.45,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-02-25 11:30:00
99,AIG Aviation,V-AIG150,AP-70099,2023-02-26,2023-04-12,727219.55,57164.25,670055.3,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-02-26 11:30:00
100,Gate Gourmet,V-GAT696,AP-70100,2023-02-26,2023-03-28,1318852.8,321343.99,997508.81,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2023-02-26 11:30:00
101,JLL,V-JLL158,AP-70101,2023-02-27,2023-03-29,242144.3,61472.21,180672.09,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-02-27 11:30:00
102,Avolon,V-AVO530,AP-70102,2023-03-01,2023-03-31,3454010.38,851334.4,2602675.98,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-03-01 11:30:00
103,Swissport Fueling,V-SWI553,AP-70103,2023-03-01,2023-03-16,1775540.12,525131.18,1250408.94,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Swissport Fueling,2023-03-01 11:30:00
104,dnata Catering,V-DNA350,AP-70104,2023-03-01,2023-03-31,1176682.75,116260.17,1060422.58,Catering,Net 30,Overdue,USD,Catering services from dnata Catering,2023-03-01 11:30:00
105,Gate Gourmet,V-GAT696,AP-70105,2023-03-02,2023-04-01,1283082.75,239955.11,1043127.64,Catering,Net 30,Overdue,USD,Catering services from Gate Gourmet,2023-03-02 11:30:00
106,Sabre Travel Network,V-SAB834,AP-70106,2023-03-03,2023-04-02,1118542.06,109238.42,1009303.64,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-03-03 11:30:00
107,Chevron Aviation,V-CHE958,AP-70107,2023-03-04,2023-03-19,10072284.75,526907.23,9545377.52,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-03-04 11:30:00
108,Rolls-Royce TotalCare,V-ROL451,AP-70108,2023-03-04,2023-04-03,2097726.07,309998.68,1787727.39,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-03-04 11:30:00
109,JLL,V-JLL158,AP-70109,2023-03-05,2023-04-04,317670.49,68164.81,249505.68,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-03-05 11:30:00
110,Signature Aviation,V-SIG943,AP-70110,2023-03-05,2023-03-20,1995316.43,409948.16,1585368.27,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-03-05 11:30:00
111,AIG Aviation,V-AIG150,AP-70111,2023-03-06,2023-04-20,875353.62,382226.54,493127.08,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-03-06 11:30:00
112,Menzies Aviation,V-MEN381,AP-70112,2023-03-06,2023-03-21,955675.23,32284.21,923391.02,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Menzies Aviation,2023-03-06 11:30:00
113,Pratt & Whitney Services,V-PRA964,AP-70113,2023-03-06,2023-04-05,1999126.18,662515.05,1336611.13,Maintenance,Net 30,Overdue,USD,Maintenance services from Pratt & Whitney Services,2023-03-06 11:30:00
114,SMBC Aviation Capital,V-SMB239,AP-70114,2023-03-06,2023-04-05,3432023.56,563684.24,2868339.32,Lease Expense,Net 30,Overdue,USD,Lease Expense services from SMBC Aviation Capital,2023-03-06 11:30:00
115,Rolls-Royce TotalCare,V-ROL451,AP-70115,2023-03-07,2023-04-06,1677132.43,404469.46,1272662.97,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-03-07 11:30:00
116,AAR Corp,V-AAR941,AP-70116,2023-03-08,2023-04-07,2288697.42,99704.49,2188992.93,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-03-08 11:30:00
117,JLL,V-JLL158,AP-70117,2023-03-08,2023-04-07,288652.06,97551.6,191100.46,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-03-08 11:30:00
118,Sabre Travel Network,V-SAB834,AP-70118,2023-03-08,2023-04-07,988680.5,18143.36,970537.14,Distribution,Net 30,Overdue,USD,Distribution services from Sabre Travel Network,2023-03-08 11:30:00
119,Swissport,V-SWI574,AP-70119,2023-03-08,2023-03-23,821821.67,220540.55,601281.12,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-03-08 11:30:00
120,AIG Aviation,V-AIG150,AP-70120,2023-03-11,2023-04-25,921683.77,279904.5,641779.27,Insurance,Net 45,Overdue,USD,Insurance services from AIG Aviation,2023-03-11 11:30:00
121,Rolls-Royce TotalCare,V-ROL451,AP-70121,2023-03-11,2023-04-10,1998994.25,447280.85,1551713.4,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-03-11 11:30:00
122,JLL,V-JLL158,AP-70122,2023-03-12,2023-04-11,362548.8,156871.96,205676.84,General Admin,Net 30,Overdue,USD,General Admin services from JLL,2023-03-12 11:30:00
123,Amadeus,V-AMA488,AP-70123,2023-03-13,2023-04-12,1070770.32,184488.73,886281.59,Distribution,Net 30,Overdue,USD,Distribution services from Amadeus,2023-03-13 11:30:00
124,Microsoft,V-MIC938,AP-70124,2023-03-13,2023-04-12,330874.23,3042.31,327831.92,General Admin,Net 30,Overdue,USD,General Admin services from Microsoft,2023-03-13 11:30:00
125,AAR Corp,V-AAR941,AP-70125,2023-03-14,2023-04-13,2290989.97,328430.56,1962559.41,Maintenance,Net 30,Overdue,USD,Maintenance services from AAR Corp,2023-03-14 11:30:00
126,Signature Aviation,V-SIG943,AP-70126,2023-03-14,2023-03-29,1796374.99,748111.78,1048263.21,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Signature Aviation,2023-03-14 11:30:00
127,CBRE,V-CBR654,AP-70127,2023-03-15,2023-04-14,255763.08,81300.75,174462.33,General Admin,Net 30,Overdue,USD,General Admin services from CBRE,2023-03-15 11:30:00
128,Chevron Aviation,V-CHE958,AP-70128,2023-03-15,2023-03-30,1619216.5,677758.2,941458.3,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-03-15 11:30:00
129,Rolls-Royce TotalCare,V-ROL451,AP-70129,2023-03-15,2023-04-14,1673663.71,713162.62,960501.09,Maintenance,Net 30,Overdue,USD,Maintenance services from Rolls-Royce TotalCare,2023-03-15 11:30:00
130,SITA,V-SIT591,AP-70130,2023-03-15,2023-04-14,321013.59,4822.6,316190.99,General Admin,Net 30,Overdue,USD,General Admin services from SITA,2023-03-15 11:30:00
131,Avolon,V-AVO530,AP-70131,2023-03-16,2023-04-15,3345985.46,171119.54,3174865.92,Lease Expense,Net 30,Overdue,USD,Lease Expense services from Avolon,2023-03-16 11:30:00
132,Lufthansa Technik,V-LUF443,AP-70132,2023-03-16,2023-04-15,2391980.76,718843.66,1673137.1,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-03-16 11:30:00
133,Allianz Global Corporate & Specialty,V-ALL825,AP-70133,2023-03-17,2023-05-01,991585.19,130714.51,860870.68,Insurance,Net 45,Overdue,USD,Insurance services from Allianz Global Corporate & Specialty,2023-03-17 11:30:00
134,Lufthansa Technik,V-LUF443,AP-70134,2023-03-17,2023-04-16,2546911.48,671672.32,1875239.16,Maintenance,Net 30,Overdue,USD,Maintenance services from Lufthansa Technik,2023-03-17 11:30:00
135,Swissport,V-SWI574,AP-70135,2023-03-17,2023-04-01,913951.95,180988.51,732963.44,Airport Fees,Net 15,Overdue,USD,Airport Fees services from Swissport,2023-03-17 11:30:00
136,Chevron Aviation,V-CHE958,AP-70136,2023-03-19,2023-04-03,13253004.62,5282138.75,7970865.87,Fuel Supply,Net 15,Overdue,USD,Fuel Supply services from Chevron Aviation,2023-03-19 11:30:00
137,Travelport,V-TRA903,AP-70137,2023-03-19,2023-04-18,1137954.99,358114.51,779840.48,Distribution,Net 30,Overdue,USD,Distribution services from Travelport,2023-03-19 11:30:00
