id,date,fuel_oil,salaries_flight_crew,salaries_ground_staff,maintenance_repair,airport_landing_fees,aircraft_lease_rent,distribution_sales,catering_inflight,insurance_safety,depreciation_amort,other_operating,total_operating_cost,casm,created_at
23,2023-01-23,15494062.53,6300930.74,5135934.78,4124674.05,3145357.6,3104816.29,1699836.44,1126569.44,748203.23,2024289.25,836438.69,43741113.04,8.285,2023-01-23 18:05:00
24,2023-01-24,13854461.85,5891148.18,5344489.18,3876704.09,2558743.76,3083086.98,1434088.06,1183842.69,773435.5,1879158.73,558393.66,40437552.68,8.1334,2023-01-24 18:05:00
25,2023-01-25,13930199.42,5450371.55,4963183.68,3832872.27,2775122.19,2962042.15,1657547.86,1016599.68,676115.32,1876535.45,768541.19,39909130.76,8.1708,2023-01-25 18:05:00
26,2023-01-26,14352976.16,5443192.42,5110708.12,4022035.68,2911507.7,3015306.07,1687865.31,1033695.67,744833.93,1862516.95,712806.65,40897444.66,8.1787,2023-01-26 18:05:00
27,2023-01-27,15923091.28,7431934.18,6076426.23,4397579.77,3261944.71,3385331.54,2013565.75,1224908.69,918632.46,2202521.21,813298.4,47649234.22,8.7431,2023-01-27 18:05:00
28,2023-01-28,15853715.65,6970078.07,6175374.73,4815809.8,3497272.46,3662513.98,1922031.46,1333054.62,841703.45,2275215.22,830592.72,48177362.16,8.6306,2023-01-28 18:05:00
29,2023-01-29,15541723.58,6686536.08,5776643.39,4850835.05,3373453.11,3606205.43,1812109.28,1179569.68,927138.67,2109909.39,956739.49,46820863.15,8.5277,2023-01-29 18:05:00
30,2023-01-30,14101562.52,6056333.16,5131859.87,4273520.32,2892381.64,3112147.76,1712257.54,1107509.55,756551.2,1846885.32,725965.46,41716974.34,8.044,2023-01-30 18:05:00
31,2023-01-31,15364184.56,6200566.59,6157077.23,4721590.43,3480478.78,3436013.66,1680345.61,1223248.77,818073.31,1991600.67,689194.13,45762373.74,8.5641,2023-01-31 18:05:00
32,2023-02-01,14556030.02,5648970.29,5235451.58,3752348.11,2906365.51,2949033.69,1512571.09,1023991.96,734060.3,1930661.77,627093.91,40876578.23,8.502,2023-02-01 18:05:00
33,2023-02-02,13475727.48,6021018.13,4846364.13,3827606.44,2640018.5,2956943.77,1491705.49,895791.44,690926.85,1730563.26,732574.64,39309240.13,8.0315,2023-02-02 18:05:00
34,2023-02-03,14168062.0,6187989.92,5124834.91,4229246.41,2796928.67,3179494.48,1731509.64,1058586.69,660758.86,1958696.85,749152.62,41845261.05,8.1308,2023-02-03 18:05:00
35,2023-02-04,15980440.32,6470996.84,6103236.52,4758851.5,3373014.97,3468435.78,1682507.13,1271007.1,879608.54,2197232.63,622131.75,46807463.08,8.4649,2023-02-04 18:05:00
36,2023-02-05,16378579.42,6396650.22,5909081.68,4977508.84,3076979.2,3558358.72,1683638.52,1298017.82,954921.77,2112589.58,841364.99,47187690.76,8.5602,2023-02-05 18:05:00
37,2023-02-06,14251738.27,5925491.63,5252761.68,4349604.71,2823847.62,3194558.73,1628667.15,1168904.7,778611.5,1925250.29,606399.5,41905835.78,8.355,2023-02-06 18:05:00
38,2023-02-07,14708993.81,5924672.92,5275702.42,4280902.1,2825018.59,3041081.84,1660626.63,1167585.05,775191.5,1991650.28,744036.12,42395461.26,8.8131,2023-02-07 18:05:00
39,2023-02-08,13310433.34,6304551.51,5184666.88,4332375.35,2830498.61,3164280.08,1486407.83,1051645.7,721336.27,1814476.75,610586.37,40811258.69,8.5627,2023-02-08 18:05:00
40,2023-02-09,15528899.9,6243445.25,5489560.28,4328381.67,2968916.96,3271858.57,1736588.19,1117359.78,843104.39,1947617.32,709411.27,44185143.58,8.6848,2023-02-09 18:05:00
41,2023-02-10,15758352.74,6327909.59,6118773.21,4485252.35,2957761.89,3647419.09,1904652.78,1273469.69,827498.5,2107454.0,721196.48,46129740.32,8.5216,2023-02-10 18:05:00
42,2023-02-11,15980423.03,6729273.14,6233415.77,4655019.05,3397977.85,3574742.12,1918076.37,1247897.01,857169.75,2261421.54,950468.41,47805884.04,8.6328,2023-02-11 18:05:00
43,2023-02-12,15061080.95,6568244.08,5823548.84,4263112.46,3036569.62,3603134.82,1762746.22,1288064.87,733142.13,2205101.98,802669.12,45147415.09,8.6102,2023-02-12 18:05:00
44,2023-02-13,13898127.84,5809556.51,5679427.54,4196200.35,3203918.48,3313362.88,1615762.1,1173980.11,739142.13,1951778.97,837159.95,42418416.86,8.3425,2023-02-13 18:05:00
45,2023-02-14,13348579.95,6063602.46,5225573.08,3759642.17,2887525.45,3146019.05,1747629.42,1209155.64,763360.44,1862388.48,932784.23,40946260.37,8.2425,2023-02-14 18:05:00
46,2023-02-15,13077039.29,5943161.87,5118803.57,3784588.1,2873122.75,2906471.59,1508830.87,1033132.03,749618.49,1888595.16,669208.49,39552572.21,8.0167,2023-02-15 18:05:00
47,2023-02-16,14668776.27,6126330.3,5570739.39,4140270.32,2993944.34,3122679.16,1708068.56,1218726.69,806172.42,1832569.8,857063.13,43045340.38,8.3825,2023-02-16 18:05:00
48,2023-02-17,14776454.26,6268419.71,5918668.98,4609185.6,3282704.88,3440453.22,1916522.64,1367365.42,728911.7,2091150.93,687477.77,45087315.11,8.4356,2023-02-17 18:05:00
49,2023-02-18,15138754.18,6631989.21,6167709.93,4856079.37,3317750.7,3559805.29,1887163.56,1273994.22,768303.7,2165636.02,926360.45,46693546.63,8.3774,2023-02-18 18:05:00
50,2023-02-19,15528167.98,6361046.08,6119270.37,4433993.32,3278968.14,3497711.65,1700756.74,1315134.68,881264.25,2281827.54,711264.41,46109405.16,8.5807,2023-02-19 18:05:00
51,2023-02-20,14318107.15,6135780.18,5868570.52,4577831.98,3097491.33,3308862.73,1518970.64,1089244.89,735016.3,2076530.02,721040.81,43447446.55,8.5119,2023-02-20 18:05:00
52,2023-02-21,13628037.09,5940819.93,5012127.43,4025661.5,3139204.26,3075905.88,1531806.86,1162040.06,774717.96,1815263.99,737077.66,40842662.62,8.0809,2023-02-21 18:05:00
53,2023-02-22,13417194.58,5542258.86,4990668.79,3953248.12,2700781.08,3081615.2,1589267.19,1152883.4,644781.14,1850975.07,735358.06,39659031.49,8.4454,2023-02-22 18:05:00
54,2023-02-23,15256516.38,6770366.07,5454085.73,3963863.53,3116505.76,3198335.1,1715452.03,1143566.13,781850.09,1973806.59,612382.92,43986730.33,8.8601,2023-02-23 18:05:00
55,2023-02-24,16529605.59,6988715.15,5834088.83,4477995.87,3229744.96,3654204.71,2034425.64,1317611.97,845551.6,2148070.23,702569.01,47762583.56,9.1111,2023-02-24 18:05:00
56,2023-02-25,17102728.93,6375471.03,5466038.37,4883331.42,3348419.37,3642127.69,1867613.0,1307952.01,882679.53,2245524.59,868884.47,47990770.41,8.9452,2023-02-25 18:05:00
57,2023-02-26,14447251.27,6089273.99,6075762.18,4477198.47,3124223.27,3546841.31,1704295.74,1256619.3,765069.43,2069867.87,729073.47,44285476.3,8.3169,2023-02-26 18:05:00
58,2023-02-27,13985147.12,5935561.07,5153825.35,4209594.02,2652390.11,3325367.11,1530347.87,1216146.41,676756.66,1991264.43,588604.09,41265004.24,7.7965,2023-02-27 18:05:00
59,2023-02-28,14351603.03,6389395.86,5306977.44,4124585.82,2840417.31,3142833.01,1709950.59,1165256.7,760489.88,1995642.49,698732.52,42485884.65,8.7861,2023-02-28 18:05:00
60,2023-03-01,15042889.11,6793752.77,5379967.15,4152644.93,3282566.86,3419544.35,1743278.24,1220294.97,847660.06,2219509.9,757163.28,44859271.62,8.328,2023-03-01 18:05:00
61,2023-03-02,14819438.39,6590839.02,5573296.92,4177879.89,2842456.72,3416797.47,1500420.48,1222598.29,823498.26,2006180.23,743430.0,43716835.67,8.618,2023-03-02 18:05:00
62,2023-03-03,16431386.92,7033453.28,5936121.24,5066392.85,3502298.22,3648185.5,1869961.68,1409853.07,859137.03,2261707.65,882043.46,48900540.9,8.7179,2023-03-03 18:05:00
63,2023-03-04,17427420.77,7080029.42,5929381.14,5068597.89,3432634.15,3820008.53,1785086.51,1292097.97,935564.64,2193904.17,888474.39,49853199.58,8.5128,2023-03-04 18:05:00
64,2023-03-05,17302201.44,6868092.83,6372245.51,4849173.71,3408342.47,3736155.17,1869776.07,1353583.88,929891.13,2446804.55,759426.43,49895693.19,8.5729,2023-03-05 18:05:00
65,2023-03-06,16250075.98,6878046.73,5751459.71,4911731.82,3377702.58,3354313.63,1803018.23,1131616.05,918271.77,2212852.37,751603.04,47340691.91,8.5909,2023-03-06 18:05:00
66,2023-03-07,14836555.17,6466560.79,5555781.03,4138672.77,3209531.59,3286010.16,1638778.67,1266409.48,811742.13,2097717.83,858119.49,44165879.11,8.1595,2023-03-07 18:05:00
67,2023-03-08,14415103.31,6214647.05,5530214.58,4036282.41,3050890.0,3322856.03,1618249.74,1265928.01,699250.88,2015297.08,681783.43,42850502.52,8.276,2023-03-08 18:05:00
68,2023-03-09,13674590.03,6379622.48,5437831.5,4389605.56,3002420.36,3206553.03,1524082.37,1106976.92,746874.32,1947353.05,666126.03,42082035.65,7.9921,2023-03-09 18:05:00
69,2023-03-10,15373843.38,7010810.56,5939646.64,4867066.13,3391198.52,3732971.61,1792518.64,1332064.06,885566.54,2320511.57,660053.45,47306251.1,8.1451,2023-03-10 18:05:00
70,2023-03-11,17185651.3,7496879.54,5959651.02,4725603.77,3121461.16,3857809.79,1780699.21,1317805.2,919646.49,2357454.47,831927.83,49554589.78,8.5594,2023-03-11 18:05:00
71,2023-03-12,16215372.4,6467537.55,6039695.72,4618546.63,3224924.72,3651402.29,1779546.44,1261844.72,779345.42,2338803.89,845239.7,47222259.48,8.5932,2023-03-12 18:05:00
72,2023-03-13,14990065.09,7318532.37,5934707.17,4276678.69,2876216.97,3386542.76,1666667.18,1259847.28,811738.92,2140291.37,571707.03,45232994.83,8.6884,2023-03-13 18:05:00
73,2023-03-14,14597885.7,6021366.78,5695799.81,4148727.16,3006161.2,3255186.9,1679096.34,1089554.51,805249.36,2082870.64,613886.64,42995785.04,8.3737,2023-03-14 18:05:00
74,2023-03-15,13743565.37,6320171.96,5124108.47,4156669.94,3060174.74,3235583.28,1652963.15,1136219.22,763783.1,2046243.64,584110.04,41823592.91,7.8868,2023-03-15 18:05:00
75,2023-03-16,13811674.83,6681663.89,5574820.54,4328035.22,3222651.8,3324836.19,1837372.0,1143297.18,792433.51,2065614.25,836989.54,43619388.95,8.1469,2023-03-16 18:05:00
76,2023-03-17,16311898.01,6788705.07,6375785.06,4376561.6,3378703.7,3674982.13,2043071.84,1345894.3,968509.71,2082314.14,604444.7,47950870.26,8.3105,2023-03-17 18:05:00
77,2023-03-18,15598997.67,7403864.08,6830496.0,4849994.83,3581773.18,3764212.26,1981609.64,1365301.2,836818.46,2305222.13,831921.69,49350211.14,8.6006,2023-03-18 18:05:00
78,2023-03-19,15308390.41,7017732.37,5675189.46,4415083.21,2983560.02,3488319.67,1850425.25,1238231.19,913736.94,2297853.96,871455.56,46059978.04,8.0382,2023-03-19 18:05:00
79,2023-03-20,15122201.15,6437262.1,5602907.33,4208793.06,3138971.73,3447656.32,1835494.26,1244450.66,880547.13,2060862.11,795416.25,44774562.1,8.1716,2023-03-20 18:05:00
80,2023-03-21,14103495.7,5978409.59,5469954.2,4335485.01,2725492.87,3353228.99,1677556.23,1136625.23,757536.88,1974836.35,678072.66,42190693.71,8.0825,2023-03-21 18:05:00
81,2023-03-22,14797942.22,6369639.78,5420091.73,4659792.27,2976768.71,3465408.97,1693933.77,1277431.82,793164.51,2048981.6,779545.01,44282700.39,8.3795,2023-03-22 18:05:00
82,2023-03-23,14899977.46,6440354.02,5468978.23,4690863.41,3328212.79,3405419.34,1715507.45,1179603.66,806849.91,2143702.2,862973.45,44942441.92,8.6212,2023-03-23 18:05:00
83,2023-03-24,16124609.9,7400722.22,6208447.71,4800693.32,3524721.2,3680166.2,1752315.22,1368251.99,887322.81,2216300.83,810710.17,48774261.57,8.7451,2023-03-24 18:05:00
84,2023-03-25,14951889.7,7017021.35,6389222.19,4471029.12,3360724.56,3421926.62,1903625.57,1224102.66,821973.13,2118014.39,561418.17,46240947.46,8.0685,2023-03-25 18:05:00
85,2023-03-26,15168876.7,6661835.84,5503482.1,4409252.8,3155102.99,3676138.22,1771164.97,1316281.49,812681.88,2184377.49,902635.83,45561830.31,8.3088,2023-03-26 18:05:00
86,2023-03-27,14224015.11,6846436.85,6243530.06,4509127.04,3031547.85,3609099.91,1928002.61,1335318.13,817451.34,2084017.17,825589.59,45454135.66,8.353,2023-03-27 18:05:00
87,2023-03-28,14532346.13,5669297.43,5242954.44,3983001.31,2957695.68,3291262.73,1721461.59,1231234.93,753185.49,1837560.64,717495.1,41937495.47,8.0965,2023-03-28 18:05:00
88,2023-03-29,13224176.54,6064687.49,5521226.2,4357810.63,3123141.87,3031800.79,1589829.45,1272254.27,761669.36,2124453.96,535925.34,41606975.9,8.0019,2023-03-29 18:05:00
89,2023-03-30,14470472.81,6629547.36,6143756.98,3905432.72,3187245.28,3435764.41,1869099.8,1251687.45,704710.56,2171137.79,737705.26,44506560.42,8.2744,2023-03-30 18:05:00
90,2023-03-31,14744084.64,7230704.9,6150771.5,4499239.06,3044510.19,3613042.6,1569811.52,1399672.1,871388.79,2372314.41,717189.8,46212729.51,8.1128,2023-03-31 18:05:00
91,2023-04-01,15502117.24,7197694.96,6166222.47,4877093.66,3421102.41,3814568.66,2112483.86,1475053.55,863314.44,2360810.33,701220.3,48491681.88,8.0627,2023-04-01 18:05:00
92,2023-04-02,15877208.19,7541275.25,6443158.61,4499821.19,3080252.09,3684369.46,1745983.47,1243968.96,787799.0,2342270.05,820904.3,48067010.57,8.3342,2023-04-02 18:05:00
93,2023-04-03,14459114.79,6858801.02,5759776.96,4304268.67,3286497.36,3448407.11,1813446.67,1196957.45,811093.62,2153644.75,721853.2,44813861.6,8.3219,2023-04-03 18:05:00
94,2023-04-04,14957414.46,6360008.31,5805268.22,4370813.07,2984571.66,3456556.17,1765529.88,1102046.92,791163.93,2062671.44,712182.49,44368226.55,8.3247,2023-04-04 18:05:00
95,2023-04-05,14378070.75,6406815.79,5585290.31,4523949.7,2885367.36,3294146.22,1824280.52,1287993.78,869437.88,2102130.62,829376.78,43986859.71,8.7665,2023-04-05 18:05:00
96,2023-04-06,13452142.77,6284533.5,5620698.42,3795638.18,3066525.81,3182419.67,1611345.2,1050491.82,747171.27,1941299.36,749605.7,41501871.7,8.0474,2023-04-06 18:05:00
97,2023-04-07,14832078.0,6632604.34,5539379.39,4121494.88,3305739.23,3554073.65,1566895.49,1124988.82,879084.37,2077812.66,738854.21,44373005.04,8.0852,2023-04-07 18:05:00
98,2023-04-08,16215671.09,7473857.45,5891333.94,4392850.98,3399145.8,3838783.55,1837133.03,1231566.53,957688.77,2231398.81,757831.15,48227261.1,8.4621,2023-04-08 18:05:00
99,2023-04-09,16892438.73,7113624.06,6096971.21,4488561.25,3925512.65,3986032.85,1949634.33,1242715.52,892972.25,2494271.01,818519.9,49901253.76,8.5562,2023-04-09 18:05:00
100,2023-04-10,13730735.57,6592448.09,5683678.97,3940381.77,3200310.55,3518067.92,1521253.6,1241776.31,811588.32,1991838.6,737951.86,42970031.56,8.1287,2023-04-10 18:05:00
101,2023-04-11,12855945.31,6177182.15,4895327.76,3721293.37,2770836.31,3149013.92,1599249.35,1049560.67,831680.28,1837770.23,758470.53,39646329.88,7.5348,2023-04-11 18:05:00
102,2023-04-12,14237347.1,6312094.46,5418848.89,4395809.84,3123158.41,3494224.59,1590010.78,1071608.53,810223.76,2091186.35,644769.11,43189281.82,7.8955,2023-04-12 18:05:00
103,2023-04-13,14424946.71,6374850.94,5416199.35,4159747.94,3059668.3,3231413.07,1795768.5,1217786.97,833002.5,2054169.67,911508.04,43479061.99,8.1835,2023-04-13 18:05:00
104,2023-04-14,14385093.83,6822503.75,6383000.29,4439142.79,3464202.61,3798015.71,1791318.73,1284404.74,833583.35,2230778.86,864418.79,46296463.45,7.9566,2023-04-14 18:05:00
105,2023-04-15,15121965.94,6966487.52,5646969.8,4166794.06,3262365.86,3761434.92,2000488.24,1118105.24,880282.73,2241176.35,527524.45,45693595.11,8.0332,2023-04-15 18:05:00
106,2023-04-16,14196793.72,6602790.36,5554058.5,4484678.29,3269270.03,3573020.9,1761837.01,1206353.97,839699.25,2193496.74,798154.06,44480152.83,7.7967,2023-04-16 18:05:00
107,2023-04-17,14394774.31,6059569.71,5594502.68,4451605.73,2799822.7,3392247.69,1722234.42,1180145.86,699939.54,1978679.01,843879.55,43117401.2,8.2001,2023-04-17 18:05:00
108,2023-04-18,13878827.64,6554480.2,5901799.67,3868959.12,2998287.18,3279569.69,1645266.32,1149876.46,766662.26,2103484.0,773162.41,42920374.95,8.1797,2023-04-18 18:05:00
109,2023-04-19,12964897.25,6331512.92,5426724.11,4349276.27,2962799.74,3242838.48,1497855.55,1144854.97,721657.18,2051133.72,690412.6,41383962.79,7.6975,2023-04-19 18:05:00
110,2023-04-20,12336412.6,6038138.46,5074460.03,3801248.82,2629098.71,2985420.66,1524546.18,1169552.04,731272.27,1862657.77,675246.52,38828054.06,7.6554,2023-04-20 18:05:00
111,2023-04-21,14269540.39,6933898.04,6231921.9,4327754.48,3174285.14,3519751.45,1868034.59,1432050.24,793533.77,2155330.36,807921.66,45514022.02,7.9237,2023-04-21 18:05:00
112,2023-04-22,14880203.35,7437702.65,6232441.97,4481381.98,3336390.92,3647212.61,1885081.18,1259972.85,882360.75,2225482.42,885629.71,47153860.39,8.0324,2023-04-22 18:05:00
113,2023-04-23,15126081.03,7378045.52,6303841.55,4614820.74,3368631.65,3747148.93,1845602.25,1216125.09,886237.09,2238797.94,672202.95,47397534.74,8.44,2023-04-23 18:05:00
114,2023-04-24,13097694.19,6169987.37,5411445.28,4430396.62,2815826.0,3520704.18,1542079.52,1173091.34,731788.79,1912473.66,684066.34,41489553.29,8.0449,2023-04-24 18:05:00
115,2023-04-25,12755778.07,6366966.14,5581956.82,4096152.56,2939488.37,3282387.59,1723674.96,1186506.97,757456.62,2057592.62,892741.38,41640702.1,7.8689,2023-04-25 18:05:00
116,2023-04-26,13329503.17,5956760.72,5004513.06,3988595.9,2835168.29,3045747.07,1657401.09,1137954.61,790693.19,1999792.06,716732.66,40462861.82,7.8712,2023-04-26 18:05:00
117,2023-04-27,13175574.97,5976655.04,5175782.72,3797536.81,2927284.62,3341230.81,1696404.14,1184405.5,815144.78,1784895.94,858298.38,40733213.71,7.5915,2023-04-27 18:05:00
118,2023-04-28,14300463.89,6289478.34,6196898.01,4411527.23,3185712.04,3357409.61,1739693.82,1420693.46,785165.03,2172084.31,1040120.47,44899246.21,7.9439,2023-04-28 18:05:00
119,2023-04-29,15151349.07,6942014.17,6499972.53,4252917.87,3277968.3,3613418.62,1680046.81,1175398.92,817367.79,2393254.61,768738.42,46572447.11,7.6528,2023-04-29 18:05:00
120,2023-04-30,14155391.31,6931410.95,6054533.71,4332049.15,3162702.81,3581342.87,1859377.13,1232216.37,951810.98,2084247.88,668375.25,45013458.41,7.9596,2023-04-30 18:05:00
121,2023-05-01,13388615.79,6224314.79,4990046.79,4519248.65,2983776.69,3307141.13,1656717.07,1282780.09,779574.86,1993521.12,705406.95,41831143.93,7.8011,2023-05-01 18:05:00
122,2023-05-02,14417652.99,5931011.12,5130017.7,3485892.18,3093193.37,3103854.05,1780872.96,1124051.67,779071.19,1971805.88,832643.37,41650066.48,7.6453,2023-05-02 18:05:00
123,2023-05-03,13445683.64,5703855.0,5145609.47,3880057.42,2929795.35,3103734.24,1613647.91,1193233.13,723049.97,2060592.08,828100.43,40627358.64,7.5291,2023-05-03 18:05:00
124,2023-05-04,13700212.53,7062422.81,5664929.73,4176743.69,3326799.26,3264066.25,1728359.51,1271526.11,826496.67,2175490.14,996163.69,44193210.39,7.7649,2023-05-04 18:05:00
125,2023-05-05,14517360.53,7072507.52,5769708.72,4356389.56,3513702.14,3723426.43,1900604.04,1410690.91,966552.52,2165108.28,814398.02,46210448.67,7.7766,2023-05-05 18:05:00
126,2023-05-06,14316993.29,7094336.71,6343483.56,4572157.4,3750482.28,3972493.74,1878741.02,1538790.99,930854.55,2377375.55,914919.61,47690628.7,7.9173,2023-05-06 18:05:00
127,2023-05-07,15724095.35,7284385.18,6754867.24,4523571.74,3639477.16,3608756.32,1828503.12,1369550.09,953946.73,2485018.87,758936.31,48931108.11,8.0171,2023-05-07 18:05:00
128,2023-05-08,13640804.89,6814931.68,5591604.53,3896698.43,3221864.89,3383842.41,1658007.38,1048694.22,786179.41,1964981.53,490473.64,42498083.01,7.9935,2023-05-08 18:05:00
129,2023-05-09,12748843.56,6319925.65,5451822.34,3916457.34,2773804.13,3319544.23,1550267.65,1106299.59,721847.0,1975641.86,719267.87,40603721.22,7.6656,2023-05-09 18:05:00
130,2023-05-10,12483337.96,5771030.64,5228760.29,3829749.42,3078320.51,3212305.23,1640430.58,1334139.0,749097.55,2042859.8,620752.18,39990783.16,7.6987,2023-05-10 18:05:00
131,2023-05-11,12705988.81,6965630.65,5118648.98,4351537.51,3188149.04,3108260.61,1867827.09,1078843.22,733844.14,1976595.3,803101.13,41898426.48,7.7776,2023-05-11 18:05:00
132,2023-05-12,14097631.72,6124778.3,5459725.85,4077175.08,3362568.45,3345053.74,1861113.69,1276245.19,836439.54,2251000.18,579564.27,43271296.01,7.8106,2023-05-12 18:05:00
133,2023-05-13,15171249.49,7196357.57,5871977.43,4661269.47,3326288.93,3729926.81,1961957.76,1146488.85,976209.5,2283598.97,766357.42,47091682.2,7.7778,2023-05-13 18:05:00
134,2023-05-14,14901958.45,6625150.66,6085868.93,4180376.9,3410363.5,3795482.65,2009395.31,1189993.84,875227.05,2107586.44,841343.78,46022747.51,7.9484,2023-05-14 18:05:00
135,2023-05-15,12974207.54,5999706.05,5498657.64,4030516.8,2955234.83,3222532.4,1561478.31,1222646.84,757431.25,1940976.36,759965.61,40923353.63,7.7884,2023-05-15 18:05:00
136,2023-05-16,12621324.13,5890928.48,4878239.27,3760119.27,3028767.83,2957996.02,1774300.26,1094867.91,692332.92,1910790.41,678439.31,39288105.81,7.5251,2023-05-16 18:05:00
137,2023-05-17,13543574.13,5897015.29,5634128.18,4060801.46,2840468.58,3363082.67,1653113.04,1171174.09,817358.6,1989130.16,936260.64,41906106.84,7.7919,2023-05-17 18:05:00
138,2023-05-18,13965109.43,6470163.17,6054009.08,3823630.27,2977274.18,3267289.09,1928011.11,1155482.64,748824.88,2102800.4,920132.88,43412727.13,7.7903,2023-05-18 18:05:00
139,2023-05-19,14269100.95,7633210.58,6951248.85,4359670.21,3171627.23,3882832.42,2168835.2,1198900.49,848492.05,2388295.09,778028.15,47650241.22,7.8004,2023-05-19 18:05:00
140,2023-05-20,14743368.91,7182695.52,6722446.91,4992846.8,3564768.87,3774290.98,1769422.32,1452980.76,980651.17,2273846.92,1057167.69,48514486.85,7.5284,2023-05-20 18:05:00
141,2023-05-21,14755361.76,6804343.21,6246567.27,4280768.38,3810674.97,3672587.15,2076132.38,1325205.93,883774.86,2257148.73,1041287.73,47153852.37,8.0101,2023-05-21 18:05:00
142,2023-05-22,13432322.61,6180891.51,5617054.54,3965809.76,2955238.82,3289474.1,1623213.26,1054422.68,762396.57,2016064.21,716254.75,41613142.81,7.8207,2023-05-22 18:05:00
